_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,4719.3,3269.9,1435.2,0,0
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,4861.7,4354.5,0,115.73,0
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,4343.1,1466.6,3744.1,75.373,0
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,4664.2,3324.1,1315.6,116.01,0
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,3777.8,4143.5,1572.5,0,0
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,3904.9,5263.6,84,100.68,0
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,3388,2372.5,3838.4,62.641,0
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,3704.7,4246.2,1389.1,115.49,0
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,3774.6,4228,1296.1,154.78,0
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,6961.3,1052.8,1218.1,58.326,0
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,2432.4,5523,1412.3,145.87,0
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,5888,2084.1,1315.2,49.046,0
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,1510.1,6397.2,1526,119.74,0
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,5017.2,2915,1406.8,34.081,0
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,1935.7,4736.1,2851.5,116.82,0
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,2304.1,6325.4,489.75,350.7,0
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,7024.8,0,2486.4,104.71,0
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,7309.1,1222.8,596.91,63.455,0
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,679.01,5910.1,3000.7,85.04,0
