_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,3208.1,1885.5,2406.1,972.77,0
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,2984.1,1973.1,2366.9,1177.2,0
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,2468,2108,2330.3,1662.2,0
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,1986.8,2163.9,2352.4,2128.8,0
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,1797.6,2170.3,2373.5,2315.5,0
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,1427.5,2186.9,3345.6,1537.4,0
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,4578.5,1561,1692.7,599.25,0
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,579.11,2295.2,3380,2359.1,0
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,3935.5,1884,1525,1172.5,0
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,0,2266,3511.9,3117.9,0
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,3342,2027.3,1494.8,1733.6,0
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,2664.4,4286.9,538.59,1019.8,0
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,3836.5,1430,2672.2,437.62,0
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,1730.2,4330.7,626.28,1935.8,0
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,3170.6,1548.2,2660.6,1072.3,0
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,900.8,4118.2,906.77,2800.2,0
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,2564.3,1587.3,2705.6,1664.6,0
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,5600.6,1308.6,1153.2,325.47,0
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,2469.6,2442.6,2610.6,877.08,0
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,4740.3,1402,1189.3,1159,0
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,1834.5,2776.1,2424.8,1437.6,0
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,3997.2,1383.7,1299.3,1899.7,0
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,1233.3,2914.6,2391.6,2004.4,0
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,1173.7,2235.6,3007.6,2127.9,0
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,3530.6,1942.3,1706.5,1297.9,0
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,0,4597.6,1578.3,2540.8,0
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,1197.6,1645.3,3768.3,1863.6,0
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,3138.5,4040.6,0,1509.3,0
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,4692.7,1384.1,1771.9,506.93,0
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,1669.2,1409.2,3010.8,2506.9,0
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,530.18,3022.4,3102,1832.7,0
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,6777.4,1245.6,6.43,365.23,0
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,2913.5,2517.5,1851,1141.3,0
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,1894.8,3289.2,1392.5,1968.8,0
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,2968.1,1634.2,2572.1,1240.5,0
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,2933.8,2544.2,493.96,2709.8,0
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,1736.8,5611.1,125.66,947.05,0
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,5910.2,1338.9,1032,0,0
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,2227.3,1903,3028.7,1211.8,0
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,3704.7,1573.8,1696.9,1478.3,0
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,1933.1,2578.6,2389.6,1526.3,0
