_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4
0.00174,0.0003965,0.003725,0.00158,-0.13849,2.0298,6237.7,386.67,539.34,0
0.00257,0.0003965,0.003725,0.00158,-0.10448,2.3298,4595.7,2132.6,490.35,0
0.0034,0.0003965,0.003725,0.00158,-0.075648,2.578,3304.4,3505.8,453.81,0
0.00257,0.000193,0.003725,0.00158,-0.06644,1.9367,5089.7,1971.1,0,0
0.00257,0.0006,0.003725,0.00158,-0.13482,2.6992,4172.8,2285.8,897.31,0
0.00257,0.0003965,0.0012,0.00158,-0.03472,3.1734,127.3,6885.1,329.04,0
0.00257,0.0003965,0.00625,0.00158,-0.13869,1.9636,6655.1,0,556.44,0
0.00257,0.0003965,0.003725,0.0008,-0.14593,3.0166,3768.1,2496.4,1206.6,0
0.00257,0.0003965,0.003725,0.00236,-0.081219,2.0298,5099.9,1830.9,176.1,0
