_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4
0.00174,0.0003965,0.003725,0.00158,0.041395,2.0298,4511.1,2054.5,1933.5,893.76
0.0018032,0.0003965,0.003725,0.00158,0.044257,2.0547,4434.7,2131.8,1931.2,900.17
0.0019831,0.0003965,0.003725,0.00158,0.052147,2.1236,4227.1,2348.6,1922.1,913.98
0.0022524,0.0003965,0.003725,0.00158,0.063417,2.2217,3941.4,2662.6,1902,924.56
0.00257,0.0003965,0.003725,0.00158,0.075925,2.3298,3637.9,3017.7,1870.5,924.11
0.0028876,0.0003965,0.003725,0.00158,0.087652,2.4303,3365.7,3356.9,1832.4,912.52
0.0031569,0.0003965,0.003725,0.00158,0.097034,2.51,3156.2,3632.5,1796.2,895.77
0.0033368,0.0003965,0.003725,0.00158,0.10304,2.5607,3025.8,3810.7,1770.4,881.72
0.0034,0.0003965,0.003725,0.00158,0.10505,2.5781,2981.7,3871.8,1761.2,876.67
0.00174,0.000193,0.003725,0.00158,0.076566,1.5962,4171.9,2264.5,2625.7,301.31
0.00174,0.0006,0.003725,0.00158,0.018792,2.4291,4797.4,1963.8,1329.9,1326.6
0.0019831,0.000193,0.003725,0.00158,0.092822,1.7038,3894.7,2597.6,2594.8,297.24
0.0019831,0.0006,0.003725,0.00158,0.032905,2.5132,4512,2223.1,1337.4,1367.6
0.00257,0.000193,0.003725,0.00158,0.12418,1.9367,3318.1,3350.3,2500.5,255.55
0.00257,0.0006,0.003725,0.00158,0.059637,2.6992,3917.1,2818.3,1325.5,1422.5
0.0031569,0.000193,0.003725,0.00158,0.1524,2.1372,2848,4036,2389.8,183
0.0031569,0.0006,0.003725,0.00158,0.083822,2.8634,3430.3,3370.4,1285.3,1432.4
0.0034,0.000193,0.003725,0.00158,0.16551,2.2122,2679.1,4302,2341.8,146.87
0.0034,0.0006,0.003725,0.00158,0.09541,2.9256,3255.1,3586.8,1263.6,1427
0.00174,0.0003965,0.0012,0.00158,0.12368,2.8246,1702.6,3053.2,2733.1,2135.4
0.00174,0.0003965,0.00625,0.00158,0.0040206,1.7337,5509.9,1197.3,1888.1,725.58
