_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,3871.6,4900.1,481.93
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,4779.7,2154.1,2633.8
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,4083.5,4218.4,1029.7
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,4964.3,1548.2,3128.7
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,4255.4,3657.6,1484.1
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,2929.2,3380.5,3341.5
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,5627.1,1616,2239.1
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,1883.9,6562.1,799.7
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,4616.7,4450,105.25
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,3163.3,2563.3,4004.1
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,5871.2,789.95,2901.5
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,2117.1,5935.8,1321
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,4853.1,3841.8,601.11
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,3354.5,2057.5,4437.7
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,6073.3,263.1,3349.1
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,2268.4,5382.7,1771
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,5008,3300.5,1032.9
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,2950.6,5086.8,1324.4
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,4719.4,3780,794.84
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,3195.7,4299.9,1959.2
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,4966.8,3008.2,1408.8
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,3382.5,3688.1,2458
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,5156.5,2403.8,1895.4
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,5553.7,2509.6,1314.5
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,4805.7,3087.8,1503.7
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,3884.8,3796.5,1741.3
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,3313.7,4233.9,1891.6
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,5988.5,564.84,3063.5
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,4910.4,3723.9,626.14
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,4273.6,1873.3,3512.9
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,3237.3,5072.5,1043.4
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,3776.5,3869.3,1837.2
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,5869.3,2375.3,1145.1
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,1391.9,5719.2,2420
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,4551.4,3363.2,1501.6
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,6128.6,1129.2,2285
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,5429.5,3185.6,694.02
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,3697.5,2992.7,2920.9
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,3003.1,5063.8,1306.6
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,5191.7,1020.9,3513.6
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,6902,59.287,2618.1
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,4096.4,4355,860.19
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,5836.8,3066.4,347.18
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,1765.5,3679.6,4353.3
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,5029.7,1452.4,3135.8
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,672.3,7018.2,1676.7
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,3964.7,4475.8,838.01
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,4939.7,2925.2,1535.4
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,6037.1,2177.5,1127.2
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,1868.5,5308,2296.4
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,4072.1,3722.9,1649.4
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,5008,1546.5,3099.5
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,4553.7,2867.5,2090
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,4198.3,3926.7,1264.5
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,4042.2,4402,888.38
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,2886.5,3522.1,3262.1
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,5607.9,1644.3,2275.5
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,2177.6,5689.3,1519.9
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,4914.1,3612.3,776.09
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,3957.4,2029.1,3737.8
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,5708.3,905.47,2996.6
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,2868.1,5311.9,1143.3
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,4641.3,3963,667.15
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,2642.6,4712,2107.9
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,3803.6,3836.6,1786.7
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,4708.4,3181.1,1500.3
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,5104.9,2907.7,1356.8
