P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
11,4,8,9,0.8473,1.2083,7.9257,4.3623,16.379
11,4,8,10,0.85167,1.1913,7.9035,4.0297,16.351
11,4,8,11,0.85419,1.1805,7.8813,3.8595,16.293
11,4,8,12,0.85522,1.1737,7.8484,3.7778,16.175
11,4,8,13,0.85431,1.0064,7.4516,3.2015,12.879
11,4,9,10,0.85232,1.1895,7.8912,3.9889,16.356
11,4,9,11,0.85426,1.1804,7.8737,3.834,16.304
11,4,9,12,0.85514,1.1739,7.8451,3.7643,16.182
11,4,9,13,0.85431,1.0094,7.4611,3.2196,12.927
11,4,9,14,0.8525,0.93254,7.2308,2.9702,12.135
11,4,10,11,-Inf,1.5338,10.544,7.0259,13.945
11,4,10,12,0.85503,1.174,7.8386,3.7561,16.174
11,4,10,13,0.85429,1.0066,7.453,3.2079,12.894
11,4,10,14,0.85266,0.94123,7.2603,3.0007,12.2
11,4,10,15,0.85114,0.90949,7.1447,2.9094,11.946
11,4,11,12,0.85487,1.1733,7.8259,3.7359,16.176
11,4,11,13,0.85408,0.98935,7.405,3.156,12.639
11,4,11,14,0.85269,0.94248,7.2645,3.01,12.213
11,4,11,15,0.85174,0.92234,7.1943,2.9496,12.041
11,4,11,16,0.85107,0.91143,7.1522,2.9165,11.965
11,4,12,13,0.85206,0.9278,7.2151,2.9609,12.092
11,4,12,14,0.85206,0.9278,7.2151,2.9609,12.092
11,4,12,15,0.85206,0.9278,7.2151,2.9609,12.092
11,4,12,16,0.85206,0.9278,7.2151,2.9609,12.092
11,4,12,17,0.85206,0.9278,7.2151,2.9609,12.092
11,4.25,8,9,0.84609,1.2309,7.9234,4.5272,16.535
11,4.25,8,10,0.85045,1.214,7.8995,4.2021,16.504
11,4.25,8,11,0.85284,1.2036,7.8755,4.0369,16.462
11,4.25,8,12,0.85367,1.1974,7.8399,3.9676,16.374
11,4.25,8,13,0.85349,1.0132,7.4108,3.3276,12.676
11,4.25,9,10,0.85083,1.2135,7.8855,4.1921,16.519
11,4.25,9,11,0.8527,1.2045,7.8661,4.0198,16.487
11,4.25,9,12,0.85345,1.1983,7.8346,3.9779,16.403
11,4.25,9,13,0.85349,1.0135,7.4118,3.3266,12.684
11,4.25,9,14,0.85217,0.92857,7.1581,3.0295,11.895
11,4.25,10,11,0.85249,1.2049,7.8555,4.0123,16.545
11,4.25,10,12,0.85314,1.1989,7.8262,3.9743,16.442
11,4.25,10,13,0.85347,1.0069,7.393,3.3028,12.613
11,4.25,10,14,0.85224,0.93376,7.1764,3.0473,11.925
11,4.25,10,15,0.85087,0.89945,7.0464,2.9346,11.727
11,4.25,11,12,0.85281,1.1987,7.811,3.9534,16.47
11,4.25,11,13,0.85331,0.98351,7.3273,3.2281,12.389
11,4.25,11,14,0.85216,0.93074,7.166,3.0363,11.908
11,4.25,11,15,0.85126,0.90885,7.0852,2.9755,11.783
11,4.25,11,16,0.8506,0.89729,7.0368,2.9265,11.748
11,4.25,12,13,0.85136,0.91028,7.0919,2.9833,11.799
11,4.25,12,14,0.85136,0.91028,7.0919,2.9833,11.799
11,4.25,12,15,0.85136,0.91028,7.0919,2.9833,11.799
11,4.25,12,16,0.85136,0.91028,7.0919,2.9833,11.799
11,4.25,12,17,0.85136,0.91028,7.0919,2.9833,11.799
11,4.5,8,9,0.84464,1.2536,7.9206,4.6796,16.698
11,4.5,8,10,0.84896,1.2369,7.895,4.3556,16.684
11,4.5,8,11,0.8512,1.2271,7.8693,4.2127,16.659
11,4.5,8,12,0.8518,1.2216,7.8311,4.1658,16.607
11,4.5,8,13,0.85229,1.0214,7.371,3.4538,12.493
11,4.5,9,10,0.84901,1.238,7.8792,4.3986,16.724
11,4.5,9,11,0.85078,1.2292,7.8581,4.2259,16.716
11,4.5,9,12,0.85136,1.2234,7.8238,4.1889,16.668
11,4.5,9,13,0.85227,1.0189,7.3631,3.4467,12.462
11,4.5,9,14,0.85144,0.92655,7.0865,3.1134,11.715
11,4.5,10,11,0.85028,1.2309,7.846,4.2376,16.804
11,4.5,10,12,0.85082,1.2249,7.8135,4.1864,16.743
11,4.5,10,13,0.85223,1.0085,7.3328,3.4065,12.322
11,4.5,10,14,0.85146,0.92813,7.0924,3.123,11.728
11,4.5,10,15,0.85029,0.89188,6.9481,2.9638,11.54
11,4.5,11,12,0.85025,1.2255,7.7955,4.1683,16.819
11,4.5,11,13,0.85218,0.9787,7.2481,3.2853,12.106
11,4.5,11,14,0.85132,0.92071,7.0655,3.0878,11.698
11,4.5,11,15,0.8505,0.89764,6.9741,3.0018,11.546
11,4.5,11,16,0.84985,0.8859,6.9193,2.9247,11.515
11,4.5,12,13,0.8504,0.89509,6.9638,2.983,11.53
11,4.5,12,14,0.8504,0.89509,6.9638,2.983,11.53
11,4.5,12,15,0.8504,0.89509,6.9638,2.983,11.53
11,4.5,12,16,0.8504,0.89509,6.9638,2.983,11.53
11,4.5,12,17,0.8504,0.89509,6.9638,2.983,11.53
11,4.75,8,9,0.84303,1.2762,7.9174,4.8015,16.912
11,4.75,8,10,0.84728,1.2598,7.8902,4.5002,16.906
11,4.75,8,11,0.84935,1.2507,7.8628,4.3641,16.864
11,4.75,8,12,0.84972,1.246,7.8222,4.3613,16.859
11,4.75,8,13,0.8508,1.0306,7.3326,3.6108,12.347
11,4.75,9,10,0.84695,1.2627,7.8727,4.6032,16.943
11,4.75,9,11,0.8486,1.2543,7.8499,4.4355,16.942
11,4.75,9,12,0.84899,1.249,7.8129,4.4057,16.928
11,4.75,9,13,0.85071,1.0255,7.3153,3.5945,12.282
11,4.75,9,14,0.85039,0.92632,7.0166,3.1926,11.558
11,4.75,10,11,0.84775,1.2575,7.8363,4.4608,17.086
11,4.75,10,12,0.84816,1.2516,7.8005,4.421,17.024
11,4.75,10,13,0.85066,1.0113,7.2729,3.5341,12.134
11,4.75,10,14,0.85037,0.92435,7.0091,3.1819,11.548
11,4.75,10,15,0.84941,0.88685,6.8507,2.9975,11.425
11,4.75,11,12,0.84732,1.2531,7.7798,4.4121,17.157
11,4.75,11,13,0.85074,0.97502,7.1682,3.4015,11.836
11,4.75,11,14,0.85022,0.91266,6.9642,3.1301,11.516
11,4.75,11,15,0.84949,0.8891,6.8622,3.0125,11.424
11,4.75,11,16,0.84888,0.87768,6.8009,2.9496,11.398
11,4.75,12,13,0.84923,0.88312,6.8323,2.9833,11.406
11,4.75,12,14,0.84923,0.88312,6.8323,2.9833,11.406
11,4.75,12,15,0.84923,0.88312,6.8323,2.9833,11.406
11,4.75,12,16,0.84923,0.88312,6.8323,2.9833,11.406
11,4.75,12,17,0.84923,0.88312,6.8323,2.9833,11.406
11,5,8,9,0.84131,1.2983,7.9141,4.9049,17.245
11,5,8,10,0.84547,1.2824,7.8852,4.632,17.208
11,5,8,11,0.84736,1.274,7.8563,4.5045,17.167
11,5,8,12,0.84748,1.2703,7.8133,4.5276,17.178
