-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.18492,0.27651,0.65941,0.52127
0.00257,0.0003965,0.003725,0.00158,-0.0029705,0.31852,0.85274,0.59534
0.0034,0.0003965,0.003725,0.00158,-0.14908,0.35189,0.71519,0.46403
0.00257,0.000193,0.003725,0.00158,-0.39144,0.25992,0.1688,0.1161
0.00257,0.0006,0.003725,0.00158,0.31171,0.36688,0.50593,0.33012
0.00257,0.0003965,0.0012,0.00158,-0.53787,0.42834,0.34244,0.22794
0.00257,0.0003965,0.00625,0.00158,0.23626,0.26676,0.48817,0.35308
0.00257,0.0003965,0.003725,0.0008,0.5429,0.40659,0.17242,0.10759
0.00257,0.0003965,0.003725,0.00236,-0.23091,0.27594,0.57302,0.34184
