_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00174,0.000193,0.003725,0.0008,9.0155,4.6562,0.46711,0.24125,2.175,0.051812,2.0302
0.00174,0.000193,0.003725,0.00236,9.0155,1.5784,0.46711,0.08178,0.73729,0.051812,1.4191
0.00174,0.0006,0.003725,0.0008,2.9,4.6562,0.46711,0.75,2.175,0.16107,3.2956
0.00174,0.0006,0.003725,0.00236,2.9,1.5784,0.46711,0.25424,0.73729,0.16107,2.0201
0.00257,0.000193,0.003725,0.0008,13.316,4.6562,0.68993,0.24125,3.2125,0.051812,2.3559
0.00257,0.000193,0.003725,0.00236,13.316,1.5784,0.68993,0.08178,1.089,0.051812,1.7589
0.00257,0.0006,0.003725,0.0008,4.2833,4.6562,0.68993,0.75,3.2125,0.16107,3.5385
0.00257,0.0006,0.003725,0.00236,4.2833,1.5784,0.68993,0.25424,1.089,0.16107,2.3036
0.0034,0.000193,0.003725,0.0008,17.617,4.6562,0.91275,0.24125,4.25,0.051812,2.6226
0.0034,0.000193,0.003725,0.00236,17.617,1.5784,0.91275,0.08178,1.4407,0.051812,2.0329
0.0034,0.0006,0.003725,0.0008,5.6667,4.6562,0.91275,0.75,4.25,0.16107,3.743
0.0034,0.0006,0.003725,0.00236,5.6667,1.5784,0.91275,0.25424,1.4407,0.16107,2.5399
0.00174,0.0003965,0.0019396,0.00158,4.3884,1.2276,0.89711,0.25095,1.1013,0.20443,2.483
0.00174,0.0003965,0.0055104,0.00158,4.3884,3.4876,0.31576,0.25095,1.1013,0.071954,1.7987
0.00257,0.0003965,0.0019396,0.00158,6.4817,1.2276,1.325,0.25095,1.6266,0.20443,2.8324
0.00257,0.0003965,0.0055104,0.00158,6.4817,3.4876,0.46639,0.25095,1.6266,0.071954,2.0469
0.0034,0.0003965,0.0019396,0.00158,8.575,1.2276,1.753,0.25095,2.1519,0.20443,3.0938
0.0034,0.0003965,0.0055104,0.00158,8.575,3.4876,0.61701,0.25095,2.1519,0.071954,2.2658
0.00174,0.0003965,0.0012,0.0008,4.3884,1.5,1.45,0.49562,2.175,0.33042,3.5474
