-il,_it,_el,_et,pca_2,pca_1,fBD8,fBD7,fBD6,fBD5,fBD4,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.18492,0.27651,0.99869,0.97124,0.95866,0.93571,0.80884,0.69264,0.50822
0.00257,0.0003965,0.003725,0.00158,-0.0029705,0.31852,0.99997,0.99997,0.99995,0.99713,0.98247,0.81359,0.5999
0.0034,0.0003965,0.003725,0.00158,-0.14908,0.35189,0.99948,0.98423,0.97434,0.91796,0.84585,0.74353,0.46035
0.00257,0.000193,0.003725,0.00158,-0.39144,0.25992,0.31267,0.2932,0.27902,0.24531,0.20633,0.171,0.11256
0.00257,0.0006,0.003725,0.00158,0.31171,0.36688,0.99997,0.92427,0.87821,0.77011,0.66696,0.50682,0.4019
0.00257,0.0003965,0.0012,0.00158,-0.53787,0.42834,0.59628,0.57792,0.53244,0.50308,0.43055,0.36568,0.26112
0.00257,0.0003965,0.00625,0.00158,0.23626,0.26676,0.79127,0.77692,0.74799,0.70467,0.63769,0.51488,0.36248
0.00257,0.0003965,0.003725,0.0008,0.5429,0.40659,0.30777,0.28057,0.25743,0.23246,0.19306,0.1488,0.097198
0.00257,0.0003965,0.003725,0.00236,-0.23091,0.27594,0.99367,0.88702,0.85493,0.76333,0.61576,0.46857,0.39371
