-il,_it,_el,_et,pca_3,pca_2,pca_1
0.00174,0.0003965,0.003725,0.00158,0.091997,0.18492,0.27651
0.00257,0.0003965,0.003725,0.00158,-0.1567,-0.0029705,0.31852
0.0034,0.0003965,0.003725,0.00158,-0.45286,-0.14908,0.35189
0.00257,0.000193,0.003725,0.00158,-0.58845,-0.39144,0.25992
0.00257,0.0006,0.003725,0.00158,0.12841,0.31171,0.36688
0.00257,0.0003965,0.0012,0.00158,0.61074,-0.53787,0.42834
0.00257,0.0003965,0.00625,0.00158,-0.091693,0.23626,0.26676
0.00257,0.0003965,0.003725,0.0008,0.043875,0.5429,0.40659
0.00257,0.0003965,0.003725,0.00236,0.1257,-0.23091,0.27594
