-il,_it,_el,_et,pca_3,pca_2,pca_1
0.0034,0.0003965,0.00625,0.0008,0.014673,0.12546,0.093825
0.0034,0.0003965,0.00625,0.00236,-0.061554,-0.024648,0.063363
0.00174,0.0003965,0.003725,0.0010285,0.011667,0.09651,0.081229
0.00174,0.0003965,0.003725,0.0021315,0.021195,0.0010575,0.060463
0.00257,0.0003965,0.003725,0.0010285,-0.042006,0.060358,0.091813
0.00257,0.0003965,0.003725,0.0021315,-0.0059883,-0.034565,0.070621
0.0034,0.0003965,0.003725,0.0010285,-0.09816,0.032339,0.10018
0.0034,0.0003965,0.003725,0.0021315,-0.045035,-0.062375,0.078727
0.00257,0.00020849,0.003725,0.00158,-0.096256,-0.068754,0.065359
0.00257,0.00031862,0.003725,0.00158,-0.060319,-0.027393,0.073429
0.00257,0.00047438,0.003725,0.00158,-0.0219,0.023405,0.083461
0.00257,0.00058451,0.003725,0.00158,-0.0016867,0.054826,0.089744
0.00257,0.0002526,0.0012,0.00158,0.053021,-0.15347,0.095708
0.00257,0.0002526,0.00625,0.00158,-0.07956,-0.0060653,0.056069
0.00257,0.0005404,0.0012,0.00158,0.10958,-0.059299,0.11449
0.00257,0.0005404,0.00625,0.00158,0.0084798,0.088438,0.07441
0.00257,0.0002526,0.003725,0.0008,-0.10408,0.028837,0.086355
0.00257,0.0002526,0.003725,0.00236,-0.0091488,-0.082078,0.060472
0.00257,0.0005404,0.003725,0.0008,0.039436,0.16098,0.11159
0.00257,0.0005404,0.003725,0.00236,0.025299,-0.010362,0.075053
0.00257,0.000193,0.0019396,0.00158,-0.037924,-0.13591,0.080438
0.00257,0.000193,0.0055104,0.00158,-0.10821,-0.040021,0.054519
0.00257,0.0006,0.0019396,0.00158,0.048465,-0.0020999,0.10709
0.00257,0.0006,0.0055104,0.00158,0.011291,0.094243,0.080686
0.00257,0.000193,0.0012,0.0008,-0.18994,-0.11571,0.10958
0.00257,0.000193,0.0012,0.00236,0.21992,-0.19633,0.081827
0.00257,0.000193,0.00625,0.0008,-0.078952,0.038944,0.065613
0.00257,0.000193,0.00625,0.00236,-0.069141,-0.055089,0.045368
0.00257,0.0006,0.0012,0.0008,0.0060183,0.074177,0.14591
0.00257,0.0006,0.0012,0.00236,0.24747,-0.09484,0.10276
0.00257,0.0006,0.00625,0.0008,0.15546,0.22899,0.10137
0.00257,0.0006,0.00625,0.00236,0.00024754,0.047038,0.065716
0.00257,0.000193,0.003725,0.0010285,-0.14921,-0.037067,0.073242
0.00257,0.000193,0.003725,0.0021315,-0.043027,-0.093843,0.05876
0.00257,0.0006,0.003725,0.0010285,0.021067,0.13311,0.10603
0.00257,0.0006,0.003725,0.0021315,0.018484,0.015693,0.080838
0.00257,0.0003965,0.0013922,0.00158,0.062567,-0.090905,0.10262
0.00257,0.0003965,0.0027587,0.00158,-0.022663,-0.0292,0.086305
0.00257,0.0003965,0.0046913,0.00158,-0.041125,0.020081,0.072802
0.00257,0.0003965,0.0060578,0.00158,-0.031344,0.042116,0.066592
0.00257,0.0003965,0.0019396,0.0008,-0.066725,0.038939,0.11865
0.00257,0.0003965,0.0019396,0.00236,0.12757,-0.10278,0.083244
0.00257,0.0003965,0.0055104,0.0008,0.046239,0.13943,0.089607
0.00257,0.0003965,0.0055104,0.00236,-0.02396,-0.010396,0.05903
0.00257,0.0003965,0.0012,0.0010285,-0.027131,-0.045313,0.121
0.00257,0.0003965,0.0012,0.0021315,0.19575,-0.13323,0.096105
0.00257,0.0003965,0.00625,0.0010285,0.018898,0.1072,0.078193
0.00257,0.0003965,0.00625,0.0021315,-0.032615,0.0099912,0.058508
0.00257,0.0003965,0.003725,0.00085937,-0.026205,0.090369,0.097887
0.00257,0.0003965,0.003725,0.0012815,-0.047765,0.027025,0.084811
0.00257,0.0003965,0.003725,0.0018785,-0.023052,-0.021302,0.073883
0.00257,0.0003965,0.003725,0.0023006,0.0062412,-0.041943,0.068732
