_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00257,0.0002526,0.00625,0.00158,10.174,3.9557,0.4112,0.15988,1.6266,0.040417,0.60327
0.00257,0.0005404,0.0012,0.00158,4.7558,0.75949,2.1417,0.34202,1.6266,0.45033,1.1114
0.00257,0.0005404,0.00625,0.00158,4.7558,3.9557,0.4112,0.34202,1.6266,0.086463,0.85907
0.00257,0.0002526,0.003725,0.0008,10.174,4.6562,0.68993,0.31575,3.2125,0.067813,0.95332
0.00257,0.0002526,0.003725,0.00236,10.174,1.5784,0.68993,0.10704,1.089,0.067813,0.576
0.00257,0.0005404,0.003725,0.0008,4.7558,4.6562,0.68993,0.6755,3.2125,0.14507,1.3062
0.00257,0.0005404,0.003725,0.00236,4.7558,1.5784,0.68993,0.22898,1.089,0.14507,0.76436
0.00257,0.000193,0.0019396,0.00158,13.316,1.2276,1.325,0.12215,1.6266,0.099507,0.77508
0.00257,0.000193,0.0055104,0.00158,13.316,3.4876,0.46639,0.12215,1.6266,0.035024,0.57906
0.00257,0.0006,0.0019396,0.00158,4.2833,1.2276,1.325,0.37975,1.6266,0.30935,1.1017
0.00257,0.0006,0.0055104,0.00158,4.2833,3.4876,0.46639,0.37975,1.6266,0.10888,0.93331
0.00257,0.000193,0.0012,0.0008,13.316,1.5,2.1417,0.24125,3.2125,0.16083,1.1476
0.00257,0.000193,0.0012,0.00236,13.316,0.50847,2.1417,0.08178,1.089,0.16083,0.68512
0.00257,0.000193,0.00625,0.0008,13.316,7.8125,0.4112,0.24125,3.2125,0.03088,0.73583
0.00257,0.000193,0.00625,0.00236,13.316,2.6483,0.4112,0.08178,1.089,0.03088,0.46091
0.00257,0.0006,0.0012,0.0008,4.2833,1.5,2.1417,0.75,3.2125,0.5,1.592
0.00257,0.0006,0.0012,0.00236,4.2833,0.50847,2.1417,0.25424,1.089,0.5,0.92622
0.00257,0.0006,0.00625,0.0008,4.2833,7.8125,0.4112,0.75,3.2125,0.096,1.2397
0.00257,0.0006,0.00625,0.00236,4.2833,2.6483,0.4112,0.25424,1.089,0.096,0.73216
0.00257,0.000193,0.003725,0.0010285,13.316,3.6219,0.68993,0.18766,2.4989,0.051812,0.79208
0.00257,0.000193,0.003725,0.0021315,13.316,1.7476,0.68993,0.090545,1.2057,0.051812,0.57089
