_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,-0.13849,2.0298,0.32301,0.32085,0.22929,0,0
0.00257,0.0003965,0.003725,0.00158,-0.10448,2.3298,0.33272,0.33111,0.30041,0,0
0.0034,0.0003965,0.003725,0.00158,-0.075648,2.578,0.34073,0.33797,0.35672,0,0
0.00257,0.000193,0.003725,0.00158,-0.06644,1.9367,0.33935,0.35477,0.19684,0,0
0.00257,0.0006,0.003725,0.00158,-0.13482,2.6992,0.32765,0.3112,0.38575,0,0
0.00257,0.0003965,0.0012,0.00158,-0.03472,3.1734,0.35391,0.37614,0.48903,0,0
0.00257,0.0003965,0.00625,0.00158,-0.13869,1.9636,0.3216,0.31546,0.21224,0,0
0.00257,0.0003965,0.003725,0.0008,-0.14593,3.0166,0.32557,0.29351,0.45496,0,0
0.00257,0.0003965,0.003725,0.00236,-0.081219,2.0298,0.33419,0.3512,0.22628,0,0
