x,y,z
93681.898438,-19424.699219,41999.300781
92877.601562,-18932.699219,42637.300781
52201.500000,-2750.899902,-4867.339844
51397.000000,-2775.159912,-6273.330078
52865.500000,-2283.580078,-6160.189941
52952.199219,-3720.179932,-5928.720215
58711.601562,7735.919922,34744.500000
57186.699219,7537.850098,34976.300781
58332.000000,7744.040039,36035.800781
57328.199219,9187.969727,35151.898438
53853.300781,-34174.199219,6353.240234
53024.699219,-35121.199219,5413.209961
54775.500000,-34078.000000,5054.080078
54505.601562,-35457.500000,5668.149902
92218.203125,-17255.800781,-8132.040039
93013.296875,-16232.599609,-8905.230469
94261.703125,-17129.599609,-8101.240234
93449.296875,-17672.400391,-9130.179688
87874.500000,-45722.398438,29531.300781
87750.796875,-47245.500000,29444.099609
86415.703125,-45857.500000,29722.900391
87167.000000,-46453.601562,28410.099609
73040.898438,-53234.800781,10734.400391
72815.000000,-51800.000000,11366.599609
72472.703125,-53086.601562,12056.799805
73639.500000,-52750.101562,12401.000000
76079.398438,16346.500000,9486.530273
76796.101562,17342.800781,10250.700195
76731.203125,16920.199219,8248.660156
76063.296875,17842.800781,8930.330078
96095.101562,-13742.799805,-6095.160156
96275.796875,-12191.099609,-5280.979980
95188.601562,-13219.500000,-5068.830078
96996.398438,-13246.599609,-5404.750000
81202.000000,-2603.939941,3280.000000
79938.398438,-2076.040039,3280.000000
80583.601562,-1545.670044,4068.810059
55999.699219,-17983.400391,45034.101562
54453.300781,-17893.500000,45059.398438
55198.800781,-19058.199219,45506.800781
55392.699219,-17517.500000,46170.300781
106722.000000,-15040.500000,3097.310059
107506.000000,-16047.900391,1980.579956
107889.000000,-14552.200195,1850.280029
108119.000000,-14396.799805,3291.969971
66659.203125,-11768.200195,46461.699219
67796.000000,-10986.599609,45982.199219
68319.703125,-11639.299805,47035.398438
67528.000000,-12779.700195,46059.199219
53563.101562,-33526.000000,45416.800781
52701.000000,-33714.601562,46838.699219
54415.500000,-33588.000000,46546.601562
53401.300781,-32542.800781,46718.500000
97340.500000,-51482.898438,9170.070312
97048.000000,-50519.800781,10064.400391
97002.601562,-49905.398438,8664.339844
95964.500000,-50611.699219,8525.250000
72139.898438,12198.599609,2791.260010
71851.601562,13477.200195,3825.179932
70968.500000,12440.299805,3226.699951
71621.296875,12059.000000,4557.069824
70346.703125,21875.900391,13247.700195
71509.296875,20806.099609,13625.200195
70631.601562,21506.300781,11988.900391
71941.898438,22200.500000,12955.000000
60549.300781,798.929993,41871.500000
60388.898438,-270.282990,40317.199219
60065.398438,-414.217987,42647.601562
59225.800781,130.136002,41657.000000
75444.296875,-46529.199219,6262.720215
74599.296875,-46231.101562,7008.029785
75506.296875,-46634.699219,7856.430176
91991.000000,-32405.300781,-21392.300781
91220.601562,-32727.599609,-22577.300781
91079.601562,-33840.199219,-21330.500000
90557.398438,-32308.099609,-21407.599609
79379.203125,-40231.000000,-10127.099609
78806.296875,-41947.500000,-9664.349609
78042.000000,-40940.601562,-10678.700195
79401.898438,-41670.101562,-10900.599609
60576.800781,11073.200195,40696.000000
59958.699219,11071.500000,42543.500000
59757.101562,11922.299805,41700.500000
60294.800781,10020.500000,41819.398438
91731.500000,1937.790039,35139.000000
92169.000000,640.947998,34356.101562
91647.601562,511.183990,35793.800781
90797.796875,1082.329956,34692.398438
73836.898438,-13070.299805,-18324.900391
74148.796875,-14138.900391,-17298.900391
73252.101562,-12707.099609,-16969.199219
72725.703125,-13755.599609,-17222.500000
92508.601562,-8054.799805,41615.000000
92072.898438,-7995.930176,40459.398438
93529.000000,-9163.820312,41070.800781
91852.398438,-9723.719727,40921.800781
45208.898438,-12193.700195,-3252.679932
43654.000000,-12128.400391,-2450.530029
45245.000000,-11684.000000,-1713.109985
44729.898438,-10513.700195,-3201.419922
102337.000000,-49676.000000,12214.500000
101973.000000,-49139.898438,13496.599609
101967.000000,-51068.000000,12867.799805
103081.000000,-50171.000000,13445.299805
34539.699219,-21203.599609,4381.899902
35140.101562,-21510.599609,5663.450195
34050.101562,-22532.000000,5908.330078
88156.101562,15508.000000,23001.900391
86729.703125,14376.000000,23033.500000
87866.101562,14376.900391,21952.800781
87898.601562,14136.099609,23411.000000
68514.898438,-15720.700195,47385.898438
69257.898438,-16719.300781,46684.699219
68199.101562,-17325.400391,47460.800781
67782.000000,-16737.500000,46227.398438
54251.300781,-43147.500000,27060.099609
53852.500000,-44152.000000,27737.599609
52733.398438,-43596.101562,28381.500000
52710.398438,-42477.898438,27517.699219
61668.800781,27357.000000,23935.699219
61916.101562,26179.199219,23244.900391
63124.398438,27530.500000,23092.300781
62649.898438,27307.099609,24154.699219
72392.703125,-39595.000000,34126.699219
73807.101562,-39923.300781,33596.000000
72343.203125,-40506.000000,32935.601562
73130.296875,-38658.000000,33098.199219
43244.101562,7465.029785,38283.800781
43041.800781,6342.560059,39124.101562
44482.601562,6762.470215,37824.500000
44686.199219,7087.120117,39337.300781
82678.500000,-49226.800781,25031.099609
83140.203125,-49157.699219,23481.099609
82285.101562,-50127.300781,24132.599609
81916.796875,-48274.898438,24404.599609
78260.601562,-47836.000000,2095.070068
77580.796875,-46244.500000,3146.850098
76810.398438,-48051.500000,3021.030029
77986.398438,-48096.800781,3888.060059
98893.500000,-48694.101562,-7911.399902
99641.703125,-48007.199219,-9514.549805
98875.296875,-49437.898438,-9042.429688
98345.000000,-47987.101562,-8886.589844
53999.601562,3132.060059,42667.699219
53767.000000,3677.679932,43709.500000
53281.101562,1979.910034,43884.101562
54462.300781,2530.830078,44214.000000
66171.898438,-28413.000000,-12750.500000
66502.101562,-28967.800781,-14184.900391
65052.000000,-28312.199219,-13753.200195
66732.101562,-27314.099609,-13912.700195
92004.101562,-52323.800781,8454.540039
93413.296875,-52152.101562,7968.169922
92469.398438,-52839.199219,6910.839844
92091.601562,-51500.300781,7311.819824
51122.699219,16167.200195,29622.800781
51484.300781,16272.700195,31050.900391
50127.898438,16654.500000,30794.099609
50303.398438,15132.400391,30211.000000
54283.601562,-26325.500000,47048.300781
55225.300781,-25384.099609,48204.300781
55879.398438,-26435.099609,47286.601562
55178.800781,-25438.400391,46420.101562
43862.300781,-6798.290039,-10009.599609
42532.898438,-6576.540039,-9434.150391
44124.898438,-5373.959961,-9549.120117
42709.000000,-5343.470215,-9929.879883
49428.101562,2455.290039,41502.199219
50053.699219,1168.209961,42635.398438
48499.199219,2136.669922,42703.601562
48847.199219,1058.050049,41631.398438
76371.000000,-46216.101562,34900.199219
76167.703125,-46665.898438,33621.300781
77320.398438,-45099.500000,33793.898438
