CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
-0.3588418583,235.425476749,15.03,6.83,19.79,0.64,0.27,0.46,0.81,0.96,0.99,6.38,1.32,7.77,2.5
0.0543669467,170.085770624,3,15.34,18.62,0.94,0.02,0.5,0.22,0.4,0.97,5.74,8.96,5.55,2.74
0.0215448082,185.233365325,5.29,7.82,6.62,0.79,0.13,0.02,0.86,0.88,0.71,8.13,3,7.2,3.14
0.5320295786,104.467725307,12.94,1.46,5.67,0.79,0.06,0.97,0.88,0.54,0.85,8.64,7.95,6.3,3.95
-0.1689321058,251.799361288,1.18,0.97,7.32,0.23,0.03,0.35,0.78,0.41,0.64,3.71,1.41,2.71,1.83
-0.262362421,199.055552087,11.66,1.77,3.76,0.01,0.98,0.38,0.84,0.42,0.58,5.37,3.52,3.77,2.74
-0.0930893193,169.160719145,17.7,17.05,8.98,0.18,0.88,0.67,0.48,0.92,0.82,9.18,9.51,3.96,2.46
0.1366494898,239.667112597,16.3,17.65,13.11,0.59,0.68,0.98,0.23,0.73,0.76,8.33,5.33,6.58,2.18
0.1294759881,170.892478605,16.58,12.47,7.87,0.18,0.34,0.24,0.46,0.68,0.25,5.8,1.65,6.13,3.87
-0.1276683793,176.278003548,14.76,15.43,18.84,0.3,0.31,0.89,0.92,0.58,0.93,1.65,1.21,9.78,1.32
-0.3749742978,260.9033281,5.22,17.93,9.65,0.66,0.59,0.97,0.44,0.38,0.81,4.99,3.17,4.77,2.83
-0.3037774158,230.883635821,3.94,12.54,15.51,0.72,0.87,0.76,0.41,1,0.33,9.13,3.32,6.04,1.9
-0.1598928104,176.983442907,9.71,17.03,6.86,0.68,0.82,0.87,0.59,0.27,0.23,9.59,2.16,8.4,3.67
0.2699439914,156.939926632,0.29,9.68,13.6,0.99,0.69,0.13,0.77,0.57,0.28,7.15,5.97,2.97,3.12
0.0844020961,162.435964066,12.55,5.3,0.78,0.9,0.43,0.45,1,0.23,0.51,3.74,6.68,5.61,1.37
-0.0014108644,146.128740786,19.4,17.32,12.13,0.72,0.57,0.57,0.35,0.44,0.35,7.46,9.68,4.41,1.05
-0.1050518569,237.993239553,17.48,6.43,1.45,0.23,0.96,0.54,0.51,0.25,0.28,5.54,1.55,9.19,3.52
-0.0581584899,190.847112402,6.33,11.89,7.92,0.45,0.75,0.02,0.69,0.64,0.35,5.44,4.35,4.84,2.63
0.139816774,212.978690362,10.5,8.71,16.64,0.07,0.14,0.45,0.62,0.24,0.34,1.16,6.57,2.23,2.11
-0.1253977934,216.312423285,16.4,18.92,5.01,0.72,0.1,0.14,0.96,0.9,0.39,6.35,9.82,1.68,2.78
