CC,L2orm,t1,t2,t3,p1,p2,p3,z1,z2,z3,thr1,thr2,thr3,cv
0.3261465596,126.833508785,3.11,10.97,4.88,0.08,0.94,0.68,0.22,0.69,0.31,4.91,8.74,7.5,1.36
-0.2385521722,193.026918733,11.17,16.18,2.27,0.68,0.67,0.36,0.35,0.45,0.68,7.62,5.11,3.41,2.66
0.2377242136,174.38193852,18.16,1.88,3.34,0.78,0.21,0.12,0.97,0.33,0.79,3.56,1.93,7.05,3.23
-0.151748068,159.81927002,8.13,13.46,15.06,0.09,0.85,0.99,0.71,0.3,0.79,2.05,2.35,8.3,2.58
0.1067846904,190.967842167,13.01,13.78,19.54,0.66,0.05,0.41,0.71,0.38,0.91,9.68,8.45,4.71,3.44
-0.1535759291,315.227475854,7.26,18.47,7.78,0.64,0.47,0.59,0.92,0.39,0.92,1.2,9.96,1.03,2.35
0.3277520885,204.55610399,7.82,4.48,10.64,0.58,0.16,0.64,0.58,0.57,0.38,6.52,9.41,2.36,2.21
0.2499017715,162.270793854,3.44,9.76,15.18,0.1,0.01,0.74,0.64,0.37,0.34,7.42,1.35,1.52,3.66
-0.4669300124,293.46153747,1.41,8.01,8.82,0.51,0.83,0.18,0.36,0.43,0.87,7.52,9,7.77,3.92
0.1700058103,128.66701803,5.99,17.86,9.31,0.19,0.62,0.96,0.48,0.72,0.61,4.75,3.79,4.95,1.66
-0.284958317,203.168603351,8.99,18.71,1.94,0.97,0.42,0.81,0.47,0.34,0.52,4.94,6.97,2.1,3.86
0.2214803662,146.269170507,5.02,2.61,16.85,0.63,0.48,0.89,0.66,0.43,0.88,2.27,2.55,2.78,2.26
0.2126532212,189.068489012,12.73,8.78,12.48,0.12,0.16,0.36,0.71,0.38,0.87,2.73,6.62,7.61,2.88
-0.049438454,141.629195234,17.93,13.64,2.6,0.6,0.28,0.76,0.41,0.79,0.54,5.48,4.97,1.38,1.42
-0.1155388336,259.915638684,3.8,8.51,5.93,0.13,0.37,0.75,0.61,0.51,0.45,5.52,9.16,6.6,1.22
-0.0758735028,225.388648419,10.05,4.18,3.65,0.67,0.17,0.47,0.65,0.72,0.65,3.46,9.99,5.05,2.16
0.0443067785,156.082882799,5.15,11.59,13.88,0.57,0.73,0.56,0.9,0.5,0.94,1.38,4.07,1.05,2.07
0.0155433609,153.668578231,3.27,2.03,14.84,0.67,0.41,0.81,0.52,0.77,0.24,2.23,5.45,9.63,1.61
-0.1083854442,221.322840304,12.28,9.68,3.99,0.63,0.37,0.3,0.34,0.5,0.95,2.3,6.1,9.26,2.3
-0.0330271285,161.978011478,13.79,14.79,14,0.72,0.86,0.3,0.82,0.4,0.77,3.17,8.31,2.39,3.39
0.0592489339,152.428513289,9.6,8.35,0.42,0.33,0.57,0.8,0.47,0.62,0.45,6.81,6.27,5.7,1.09
-0.0924012285,205.032552319,9.98,4.43,10.8,0.17,0.3,0.93,0.76,0.84,0.9,7.83,4.78,7.58,3.28
0.1210724567,196.671390303,17.43,13.34,11.68,0.33,0.63,0.22,0.28,0.48,0.86,9.14,2.88,8.56,1.67
0.1835046002,135.34773472,16.64,6.28,7.18,0.19,0.46,0.44,0.57,0.7,0.66,3.25,9.22,9.36,3.69
0.0401104588,163.336640239,10.83,8.41,12.35,0.44,0.82,0.43,0.69,0.49,0.63,2.21,7.49,1.76,1.1
0.2081107364,181.678297472,19.93,6.95,15.21,0.11,0.26,0.17,0.62,0.27,0.26,8.5,6.18,5.47,1.96
0.3375892326,128.429789065,16.51,6.58,6.24,0.12,0.36,0.22,0.99,0.62,0.71,6.69,9.44,6.69,3.61
0.3025702345,222.517858226,6.28,19.43,5.22,0.27,0.59,0.23,0.51,0.3,0.48,6.84,2.38,9.03,2.71
-0.1559209299,216.493164784,9.05,11.93,1.41,0.65,0.06,0.5,0.33,0.48,0.92,1.79,9.25,2.07,3.73
0.6323942394,93.9421367196,4.02,2.19,10.29,0.68,0.12,0.06,0.49,0.86,0.85,4.62,7.42,2.29,3.74
-0.2955587904,181.347962316,1.86,16.45,19.32,0.44,0.2,0.67,0.87,0.98,0.53,8.96,2.21,4.51,2.39
-0.179226648,271.58223201,2.51,5.74,17.3,0.69,0.22,0.58,1,0.59,0.83,9.47,2.07,4.14,1.75
0.0206777926,144.301127467,11.3,14.7,9.2,0.69,0.9,0.51,0.54,0.88,0.26,2.77,4.58,6.43,3.83
-0.4222425009,270.444787554,2.39,2.56,10.43,0.5,0.95,0.52,0.6,0.95,0.88,2.16,8.59,6.87,2.34
-0.1606521119,300.957373331,4.88,4.14,18.23,0.46,0.15,0.96,0.42,0.43,0.63,8.62,2.69,1.15,3.07
-0.2330965513,228.171964043,4.94,1.44,9.07,0.06,0.11,0.01,0.8,0.94,0.77,8.23,4.21,8.45,1.81
0.40088353,200.581536245,10.6,0.2,11.7,0.76,0.04,0.79,0.72,0.54,0.39,6.78,9.59,6.67,1.97
-0.0091475385,194.11949305,5.51,5.08,13.41,0.36,0.88,0.96,0.79,0.7,0.47,9.43,1.81,9.91,1.24
0.0799722823,185.762795854,13.73,19.65,7.74,0.57,0.04,0.13,0.49,0.51,0.49,1.25,7.89,3.58,2.85
0.1858169906,180.120109875,10.36,1.55,5.34,0.53,0.49,0.04,0.52,0.29,0.83,1.85,5.53,1.13,2.37
