-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.0012,0.00236,-0.10418,0.082035,0.58598,0.16691
0.00174,0.0003965,0.00625,0.0008,0.18018,0.077396,0.44295,0.089381
0.00174,0.0003965,0.00625,0.00236,0.02909,0.047834,0.44544,0.1907
0.00257,0.0003965,0.0012,0.0008,-0.004408,0.13066,0.13822,0.12288
0.00257,0.0003965,0.0012,0.00236,-0.14175,0.093015,0.38552,0.36693
0.00257,0.0003965,0.00625,0.0008,0.1503,0.08632,0.21348,0.21758
0.00257,0.0003965,0.00625,0.00236,-0.00017478,0.056236,0.50552,0.36032
0.0034,0.0003965,0.0012,0.0008,-0.02866,0.13821,0.31994,0.087312
0.0034,0.0003965,0.0012,0.00236,-0.16708,0.10078,0.35516,0.30901
0.0034,0.0003965,0.00625,0.0008,0.12546,0.093825,0.54175,0.13108
0.0034,0.0003965,0.00625,0.00236,-0.024648,0.063363,0.45829,0.37218
0.00174,0.0003965,0.003725,0.0010285,0.09651,0.081229,0.44237,0.18772
0.00174,0.0003965,0.003725,0.0021315,0.0010575,0.060463,0.34289,0.61634
0.00257,0.0003965,0.003725,0.0010285,0.060358,0.091813,0.63552,0.28901
0.00257,0.0003965,0.003725,0.0021315,-0.034565,0.070621,0.53287,0.56089
0.0034,0.0003965,0.003725,0.0010285,0.032339,0.10018,0.56284,0.38808
0.0034,0.0003965,0.003725,0.0021315,-0.062375,0.078727,0.8332,0.38616
0.00257,0.00020849,0.003725,0.00158,-0.068754,0.065359,0.41096,0.45688
0.00257,0.00031862,0.003725,0.00158,-0.027393,0.073429,0.54583,0.63636
0.00257,0.00047438,0.003725,0.00158,0.023405,0.083461,0.63229,0.26672
0.00257,0.00058451,0.003725,0.00158,0.054826,0.089744,0.53469,0.25486
0.00257,0.0002526,0.0012,0.00158,-0.15347,0.095708,0.34602,0.44478
0.00257,0.0002526,0.00625,0.00158,-0.0060653,0.056069,0.45049,0.33904
0.00257,0.0005404,0.0012,0.00158,-0.059299,0.11449,0.36115,0.63541
0.00257,0.0005404,0.00625,0.00158,0.088438,0.07441,0.57924,0.5434
0.00257,0.0002526,0.003725,0.0008,0.028837,0.086355,0.50315,0.82913
0.00257,0.0002526,0.003725,0.00236,-0.082078,0.060472,0.42406,0.15059
0.00257,0.0005404,0.003725,0.0008,0.16098,0.11159,0.18703,0.25495
0.00257,0.0005404,0.003725,0.00236,-0.010362,0.075053,0.83469,0.33892
0.00257,0.000193,0.0019396,0.00158,-0.13591,0.080438,0.4589,0.17246
0.00257,0.000193,0.0055104,0.00158,-0.040021,0.054519,0.24614,0.03036
0.00257,0.0006,0.0019396,0.00158,-0.0020999,0.10709,0.4709,0.40984
0.00257,0.0006,0.0055104,0.00158,0.094243,0.080686,0.70917,0.17673
0.00257,0.000193,0.0012,0.0008,-0.11571,0.10958,0.62505,0.4501
0.00257,0.000193,0.0012,0.00236,-0.19633,0.081827,0.2302,0.20747
0.00257,0.000193,0.00625,0.0008,0.038944,0.065613,0.48564,0.33547
0.00257,0.000193,0.00625,0.00236,-0.055089,0.045368,0.18171,0.12505
0.00257,0.0006,0.0012,0.0008,0.074177,0.14591,0.20398,0.063727
0.00257,0.0006,0.0012,0.00236,-0.09484,0.10276,0.47581,0.26798
0.00257,0.0006,0.00625,0.0008,0.22899,0.10137,0.1131,0.061175
0.00257,0.0006,0.00625,0.00236,0.047038,0.065716,0.71605,0.20359
0.00257,0.000193,0.003725,0.0010285,-0.037067,0.073242,0.52318,0.83304
0.00257,0.000193,0.003725,0.0021315,-0.093843,0.05876,0.33905,0.40159
0.00257,0.0006,0.003725,0.0010285,0.13311,0.10603,0.11229,0.07955
0.00257,0.0006,0.003725,0.0021315,0.015693,0.080838,0.62529,0.44637
0.00257,0.0003965,0.0013922,0.00158,-0.090905,0.10262,0.64896,0.4066
0.00257,0.0003965,0.0027587,0.00158,-0.0292,0.086305,0.69177,0.5943
0.00257,0.0003965,0.0046913,0.00158,0.020081,0.072802,0.63583,0.63765
0.00257,0.0003965,0.0060578,0.00158,0.042116,0.066592,0.62587,0.35677
0.00257,0.0003965,0.0019396,0.0008,0.038939,0.11865,0.23763,0.36156
0.00257,0.0003965,0.0019396,0.00236,-0.10278,0.083244,0.49916,0.46827
0.00257,0.0003965,0.0055104,0.0008,0.13943,0.089607,0.67318,0.43589
0.00257,0.0003965,0.0055104,0.00236,-0.010396,0.05903,0.41173,0.11142
0.00257,0.0003965,0.0012,0.0010285,-0.045313,0.121,0.2249,0.32167
0.00257,0.0003965,0.0012,0.0021315,-0.13323,0.096105,0.43136,0.23071
0.00257,0.0003965,0.00625,0.0010285,0.1072,0.078193,0.26779,0.28763
0.00257,0.0003965,0.00625,0.0021315,0.0099912,0.058508,0.57761,0.42991
0.00257,0.0003965,0.003725,0.00085937,0.090369,0.097887,0.68161,0.36705
0.00257,0.0003965,0.003725,0.0012815,0.027025,0.084811,0.85928,0.48428
0.00257,0.0003965,0.003725,0.0018785,-0.021302,0.073883,0.77632,0.3704
0.00257,0.0003965,0.003725,0.0023006,-0.041943,0.068732,0.64102,0.53628
