_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,0.096652,0.070482,0.06669,0,0
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.067909,0.086997,0.11834,0,0
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.086208,0.075913,0.085505,0,0
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,0.086212,0.092698,0.069767,0,0
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,0.096208,0.083378,0.054731,0,0
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.067437,0.099756,0.10646,0,0
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,0.085792,0.088358,0.073845,0,0
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,0.08608,0.086102,0.075244,0,0
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.086825,0.047462,0.11176,0,0
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,0.085594,0.10394,0.058734,0,0
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.086406,0.061765,0.098515,0,0
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,0.085207,0.11684,0.046935,0,0
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.086045,0.073614,0.087606,0,0
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.074788,0.11448,0.07385,0,0
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,0.090447,0.097274,0.052388,0,0
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.076109,0.047783,0.13539,0,0
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.091151,0.040876,0.10666,0,0
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,0.074062,0.13166,0.057879,0,0
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,0.089776,0.11449,0.03629,0,0
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.07627,0.061636,0.12336,0,0
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,0.091389,0.054111,0.095036,0,0
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,0.074276,0.1432,0.048157,0,0
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,0.090019,0.12642,0.026182,0,0
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.075696,0.073265,0.11252,0,0
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,0.090879,0.065304,0.084469,0,0
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.080143,0.064793,0.11028,0,0
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.090022,0.058323,0.092979,0,0
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.079674,0.081372,0.094987,0,0
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,0.089615,0.074393,0.07803,0,0
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.079282,0.094379,0.083075,0,0
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,0.08927,0.087109,0.066294,0,0
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,0.092718,0.074271,0.070895,0,0
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,0.088599,0.076139,0.078763,0,0
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.083521,0.078554,0.088379,0,0
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.080367,0.080127,0.094297,0,0
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,0.090148,0.119,0.032138,0,0
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,0.091301,0.054853,0.092934,0,0
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,0.080634,0.12366,0.049814,0,0
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.082482,0.059,0.11162,0,0
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.083109,0.080629,0.0892,0,0
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,0.094939,0.071344,0.069858,0,0
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.069946,0.086054,0.11444,0,0
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,0.087537,0.07518,0.08308,0,0
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,0.093129,0.10041,0.044909,0,0
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,0.093896,0.058549,0.084502,0,0
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,0.079701,0.107,0.070136,0,0
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.080547,0.064582,0.11007,0,0
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,0.085515,0.12726,0.037013,0,0
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,0.095866,0.11146,0.026778,0,0
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.086942,0.057642,0.10149,0,0
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,0.096674,0.051484,0.084406,0,0
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.066618,0.13511,0.07329,0,0
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,0.085315,0.11719,0.045343,0,0
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,0.068014,0.064904,0.1379,0,0
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,0.086144,0.056532,0.10333,0,0
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,0.089144,0.077418,0.076098,0,0
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,0.095443,0.071423,0.066724,0,0
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,0.072235,0.084684,0.10859,0,0
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,0.084919,0.077061,0.087869,0,0
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,0.085619,0.11632,0.047136,0,0
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,0.086095,0.089731,0.072528,0,0
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,0.086526,0.068039,0.092952,0,0
