-il,_it,_el,_et,pca_2,pca_1,fBD8,fBD7,fBD6,fBD5,fBD4,fBD3,fBD2
0.00174,0.0003965,0.003725,0.0008,0.13923,0.089707,0.64245,0.62093,0.57252,0.48886,0.41777,0.35535,0.22374
0.00174,0.0003965,0.003725,0.00236,-0.0087925,0.058035,0.84457,0.8388,0.74411,0.70055,0.65506,0.54669,0.33235
0.0019831,0.0003965,0.003725,0.0008,0.12756,0.093123,0.63439,0.57324,0.58232,0.50231,0.48154,0.34667,0.2756
0.0019831,0.0003965,0.003725,0.00236,-0.020181,0.061243,0.9119,0.86943,0.86114,0.77771,0.7303,0.63207,0.41078
0.00257,0.0003965,0.003725,0.0008,0.10297,0.10039,0.67201,0.67023,0.61537,0.54986,0.42066,0.35986,0.26883
0.00257,0.0003965,0.003725,0.00236,-0.044302,0.068115,0.93623,0.92838,0.89142,0.83547,0.73047,0.64258,0.43138
0.0031569,0.0003965,0.003725,0.0008,0.082457,0.10653,0.61934,0.59952,0.50274,0.44294,0.38989,0.34152,0.22228
0.0031569,0.0003965,0.003725,0.00236,-0.064577,0.073982,0.9518,0.92563,0.9136,0.80483,0.77924,0.6393,0.44189
0.0034,0.0003965,0.003725,0.0008,0.074927,0.1088,0.60346,0.53978,0.49023,0.40357,0.42027,0.30855,0.18953
0.0034,0.0003965,0.003725,0.00236,-0.07206,0.07617,0.96227,0.92046,0.89061,0.86826,0.79366,0.70354,0.43255
0.00174,0.0002526,0.003725,0.00158,-0.015387,0.058128,0.89158,0.88281,0.81623,0.73011,0.73047,0.6316,0.40291
0.00174,0.0005404,0.003725,0.00158,0.078246,0.077131,0.94494,0.87746,0.85597,0.8264,0.76861,0.67998,0.44163
0.00257,0.0002526,0.003725,0.00158,-0.051578,0.0687,0.8561,0.83429,0.72367,0.65331,0.60788,0.47279,0.34815
0.00257,0.0005404,0.003725,0.00158,0.042641,0.0873,0.94872,0.9653,0.93464,0.8615,0.8523,0.63032,0.44529
0.0034,0.0002526,0.003725,0.00158,-0.079709,0.077094,0.83595,0.77208,0.75594,0.69922,0.55485,0.45842,0.33884
0.0034,0.0005404,0.003725,0.00158,0.014917,0.095382,0.9524,0.95793,0.90453,0.85562,0.76508,0.67175,0.45219
0.00174,0.000193,0.0012,0.00158,-0.13864,0.079554,0.65083,0.60748,0.6128,0.49993,0.46131,0.39216,0.23674
0.00174,0.000193,0.00625,0.00158,0.00028237,0.042736,0.39895,0.34987,0.31916,0.3223,0.26931,0.22802,0.15344
0.00174,0.0006,0.0012,0.00158,-0.0062238,0.10714,0.8418,0.82416,0.75829,0.67656,0.57028,0.45708,0.35758
0.00174,0.0006,0.00625,0.00158,0.13417,0.069189,0.71998,0.71423,0.67179,0.60835,0.58028,0.48176,0.30937
0.00257,0.000193,0.0012,0.00158,-0.17687,0.091106,0.59946,0.60259,0.53717,0.50637,0.39584,0.38689,0.2501
0.00257,0.000193,0.00625,0.00158,-0.029537,0.051583,0.5363,0.5454,0.47685,0.46353,0.36023,0.29318,0.17148
0.00257,0.0006,0.0012,0.00158,-0.042962,0.11779,0.66733,0.65461,0.61379,0.55012,0.48832,0.42496,0.28121
0.00257,0.0006,0.00625,0.00158,0.10484,0.077644,0.8507,0.79036,0.73952,0.69262,0.64815,0.46308,0.35797
0.0034,0.000193,0.0012,0.00158,-0.20226,0.099148,0.54306,0.5273,0.4992,0.45727,0.40261,0.33815,0.17901
0.0034,0.000193,0.00625,0.00158,-0.054383,0.059059,0.66202,0.64048,0.62446,0.50894,0.46643,0.40722,0.24812
0.0034,0.0006,0.0012,0.00158,-0.067486,0.12523,0.58469,0.51093,0.49948,0.46485,0.39911,0.35058,0.21684
0.0034,0.0006,0.00625,0.00158,0.080359,0.084793,0.8735,0.84587,0.80052,0.73468,0.68484,0.58818,0.3564
0.00174,0.000193,0.003725,0.0008,0.028451,0.068344,0.96546,0.94193,0.8852,0.88444,0.75851,0.62328,0.46962
0.00174,0.000193,0.003725,0.00236,-0.063096,0.04675,0.41811,0.37294,0.3737,0.30718,0.29485,0.20952,0.13272
0.00174,0.0006,0.003725,0.0008,0.21729,0.10527,0.28597,0.25403,0.29994,0.21569,0.19687,0.16435,0.11654
0.00174,0.0006,0.003725,0.00236,0.037834,0.06789,0.96522,0.94971,0.90862,0.87104,0.79488,0.66555,0.4803
0.00257,0.000193,0.003725,0.0008,-0.0082262,0.079437,0.96328,0.95353,0.89567,0.83009,0.80491,0.73269,0.50422
0.00257,0.000193,0.003725,0.00236,-0.099002,0.057073,0.35913,0.35394,0.31303,0.31016,0.25804,0.21944,0.14099
0.00257,0.0006,0.003725,0.0008,0.18146,0.11561,0.34359,0.30477,0.31091,0.21967,0.2266,0.17619,0.10521
0.00257,0.0006,0.003725,0.00236,0.0027063,0.077745,0.99399,0.98269,0.96577,0.91706,0.82339,0.73768,0.50357
0.0034,0.000193,0.003725,0.0008,-0.036556,0.08817,0.95347,0.93405,0.92622,0.87396,0.82713,0.68987,0.47575
0.0034,0.000193,0.003725,0.00236,-0.12704,0.065319,0.43065,0.44476,0.39409,0.33811,0.30005,0.25734,0.14561
0.0034,0.0006,0.003725,0.0008,0.1537,0.12376,0.31005,0.28078,0.22776,0.22532,0.18549,0.15643,0.097316
0.0034,0.0006,0.003725,0.00236,-0.024777,0.085626,0.98224,0.95403,0.96054,0.8937,0.84571,0.71919,0.51485
0.00174,0.0003965,0.0019396,0.00158,-0.022825,0.083707,0.988,0.9733,0.93062,0.90658,0.83816,0.72222,0.41127
0.00174,0.0003965,0.0055104,0.00158,0.065446,0.059741,0.788,0.76847,0.73198,0.65731,0.609,0.53171,0.29488
0.00257,0.0003965,0.0019396,0.00158,-0.061984,0.095047,0.92002,0.92061,0.90748,0.81441,0.74967,0.63996,0.42103
0.00257,0.0003965,0.0055104,0.00158,0.034144,0.068852,0.95507,0.93469,0.91494,0.86565,0.7896,0.65207,0.44553
0.0034,0.0003965,0.0019396,0.00158,-0.089728,0.10336,0.88276,0.8202,0.79849,0.74743,0.65854,0.58928,0.39
0.0034,0.0003965,0.0055104,0.00158,0.0084532,0.076442,0.99538,0.98577,0.97034,0.93841,0.85738,0.76652,0.45155
0.00174,0.0003965,0.0012,0.0008,0.032583,0.11961,0.6268,0.49586,0.49896,0.4711,0.3939,0.28363,0.20925
0.00174,0.0003965,0.0012,0.00236,-0.10418,0.082035,0.80535,0.82579,0.73034,0.67946,0.63584,0.53554,0.34242
0.00174,0.0003965,0.00625,0.0008,0.18018,0.077396,0.57345,0.50686,0.50159,0.45578,0.39754,0.29478,0.20909
0.00174,0.0003965,0.00625,0.00236,0.02909,0.047834,0.68019,0.66926,0.5598,0.58391,0.50149,0.41275,0.21203
0.00257,0.0003965,0.0012,0.0008,-0.004408,0.13066,0.46581,0.45347,0.40159,0.33076,0.32884,0.20567,0.16603
0.00257,0.0003965,0.0012,0.00236,-0.14175,0.093015,0.74373,0.70583,0.65402,0.60733,0.5436,0.48154,0.27524
0.00257,0.0003965,0.00625,0.0008,0.1503,0.08632,0.69185,0.6294,0.56317,0.54358,0.44,0.39029,0.23914
0.00257,0.0003965,0.00625,0.00236,-0.00017478,0.056236,0.75551,0.68596,0.62556,0.5429,0.44433,0.39369,0.25322
0.0034,0.0003965,0.0012,0.0008,-0.02866,0.13821,0.49743,0.45794,0.47283,0.35015,0.34864,0.28914,0.18513
0.0034,0.0003965,0.0012,0.00236,-0.16708,0.10078,0.63502,0.58894,0.55391,0.53002,0.49928,0.37248,0.2443
0.0034,0.0003965,0.00625,0.0008,0.12546,0.093825,0.68983,0.67244,0.61367,0.56852,0.46637,0.44127,0.24794
0.0034,0.0003965,0.00625,0.00236,-0.024648,0.063363,0.81738,0.84268,0.72633,0.7783,0.62659,0.51198,0.33534
0.00174,0.0003965,0.003725,0.0010285,0.09651,0.081229,0.85938,0.82716,0.77787,0.74011,0.67215,0.57004,0.295
0.00174,0.0003965,0.003725,0.0021315,0.0010575,0.060463,0.88507,0.8489,0.81553,0.74912,0.65166,0.52906,0.39242
0.00257,0.0003965,0.003725,0.0010285,0.060358,0.091813,0.89345,0.86914,0.78652,0.78343,0.63428,0.52744,0.33849
0.00257,0.0003965,0.003725,0.0021315,-0.034565,0.070621,0.95732,0.91996,0.89232,0.81391,0.79231,0.62771,0.41855
0.0034,0.0003965,0.003725,0.0010285,0.032339,0.10018,0.83509,0.83793,0.80597,0.70552,0.6326,0.52789,0.37522
0.0034,0.0003965,0.003725,0.0021315,-0.062375,0.078727,0.96921,0.90824,0.89867,0.82505,0.77137,0.59149,0.44441
0.00257,0.00020849,0.003725,0.00158,-0.068754,0.065359,0.82411,0.77547,0.70387,0.67068,0.56034,0.46509,0.30476
0.00257,0.00031862,0.003725,0.00158,-0.027393,0.073429,0.9803,0.95878,0.92211,0.87627,0.84178,0.70117,0.46254
0.00257,0.00047438,0.003725,0.00158,0.023405,0.083461,0.96431,0.96824,0.90844,0.88697,0.77137,0.70259,0.44122
0.00257,0.00058451,0.003725,0.00158,0.054826,0.089744,0.89976,0.88854,0.84714,0.79026,0.68536,0.5924,0.38755
0.00257,0.0002526,0.0012,0.00158,-0.15347,0.095708,0.7456,0.71096,0.69462,0.60639,0.53071,0.46866,0.31444
0.00257,0.0002526,0.00625,0.00158,-0.0060653,0.056069,0.80367,0.74669,0.68322,0.63166,0.58002,0.45402,0.29733
0.00257,0.0005404,0.0012,0.00158,-0.059299,0.11449,0.66354,0.68835,0.59779,0.56455,0.48615,0.40809,0.28311
0.00257,0.0005404,0.00625,0.00158,0.088438,0.07441,0.86685,0.83522,0.80699,0.70328,0.68294,0.60111,0.37706
0.00257,0.0002526,0.003725,0.0008,0.028837,0.086355,0.98373,0.94324,0.93262,0.92866,0.85465,0.70129,0.48785
0.00257,0.0002526,0.003725,0.00236,-0.082078,0.060472,0.52024,0.50018,0.47353,0.43476,0.34657,0.3003,0.22808
0.00257,0.0005404,0.003725,0.0008,0.16098,0.11159,0.43819,0.37083,0.38469,0.32775,0.30004,0.22484,0.15796
0.00257,0.0005404,0.003725,0.00236,-0.010362,0.075053,0.9836,0.95422,0.95161,0.92657,0.81905,0.73959,0.49704
0.00257,0.000193,0.0019396,0.00158,-0.13591,0.080438,0.69612,0.68043,0.57594,0.5726,0.51075,0.38337,0.28117
0.00257,0.000193,0.0055104,0.00158,-0.040021,0.054519,0.5715,0.54411,0.54212,0.50016,0.39714,0.34358,0.21937
0.00257,0.0006,0.0019396,0.00158,-0.0020999,0.10709,0.83295,0.82627,0.7643,0.67678,0.61321,0.52157,0.31014
0.00257,0.0006,0.0055104,0.00158,0.094243,0.080686,0.9125,0.87838,0.83149,0.77203,0.74002,0.54111,0.38443
0.00257,0.000193,0.0012,0.0008,-0.11571,0.10958,0.81494,0.80051,0.74211,0.66042,0.65299,0.56059,0.3782
0.00257,0.000193,0.0012,0.00236,-0.19633,0.081827,0.46049,0.41371,0.42792,0.37433,0.33631,0.29117,0.17692
0.00257,0.000193,0.00625,0.0008,0.038944,0.065613,0.89165,0.84706,0.8406,0.76625,0.67674,0.55931,0.35168
0.00257,0.000193,0.00625,0.00236,-0.055089,0.045368,0.31522,0.28816,0.29676,0.22055,0.22058,0.17061,0.12026
0.00257,0.0006,0.0012,0.0008,0.074177,0.14591,0.238,0.18666,0.17012,0.17861,0.13152,0.092819,0.073198
0.00257,0.0006,0.0012,0.00236,-0.09484,0.10276,0.76276,0.74302,0.70847,0.61874,0.57004,0.44313,0.3022
0.00257,0.0006,0.00625,0.0008,0.22899,0.10137,0.26591,0.24775,0.23616,0.22045,0.17177,0.14517,0.091532
0.00257,0.0006,0.00625,0.00236,0.047038,0.065716,0.92347,0.88175,0.85438,0.82424,0.75487,0.626,0.46229
0.00257,0.000193,0.003725,0.0010285,-0.037067,0.073242,0.95732,0.92505,0.87359,0.85691,0.75093,0.67715,0.43146
0.00257,0.000193,0.003725,0.0021315,-0.093843,0.05876,0.6565,0.57485,0.52695,0.46874,0.40179,0.35162,0.21809
0.00257,0.0006,0.003725,0.0010285,0.13311,0.10603,0.46856,0.49036,0.48724,0.35897,0.30697,0.2848,0.20996
0.00257,0.0006,0.003725,0.0021315,0.015693,0.080838,0.98621,0.9833,0.96871,0.92517,0.86332,0.75198,0.52756
0.00257,0.0003965,0.0013922,0.00158,-0.090905,0.10262,0.85127,0.8486,0.81555,0.75074,0.68384,0.54572,0.39656
0.00257,0.0003965,0.0027587,0.00158,-0.0292,0.086305,0.97979,0.98439,0.94503,0.91025,0.84372,0.76176,0.47267
0.00257,0.0003965,0.0046913,0.00158,0.020081,0.072802,0.97795,0.96444,0.92288,0.87729,0.81643,0.72607,0.44133
0.00257,0.0003965,0.0060578,0.00158,0.042116,0.066592,0.90727,0.87887,0.81957,0.76444,0.70012,0.61227,0.3874
0.00257,0.0003965,0.0019396,0.0008,0.038939,0.11865,0.68678,0.61194,0.63609,0.53686,0.43486,0.35731,0.23896
0.00257,0.0003965,0.0019396,0.00236,-0.10278,0.083244,0.83872,0.7978,0.76352,0.70415,0.62183,0.56072,0.37943
0.00257,0.0003965,0.0055104,0.0008,0.13943,0.089607,0.7076,0.65241,0.62548,0.57867,0.46737,0.35914,0.28339
0.00257,0.0003965,0.0055104,0.00236,-0.010396,0.05903,0.83275,0.76925,0.70499,0.6328,0.58089,0.4883,0.31301
0.00257,0.0003965,0.0012,0.0010285,-0.045313,0.121,0.68414,0.63135,0.62025,0.56309,0.52713,0.37857,0.31862
0.00257,0.0003965,0.0012,0.0021315,-0.13323,0.096105,0.74134,0.71951,0.67672,0.6155,0.56225,0.41784,0.33552
0.00257,0.0003965,0.00625,0.0010285,0.1072,0.078193,0.8168,0.72876,0.75635,0.67636,0.55138,0.49449,0.33454
0.00257,0.0003965,0.00625,0.0021315,0.0099912,0.058508,0.84465,0.81851,0.77162,0.70458,0.60263,0.54069,0.34921
0.00257,0.0003965,0.003725,0.00085937,0.090369,0.097887,0.76444,0.72811,0.73182,0.61244,0.55431,0.4287,0.28445
0.00257,0.0003965,0.003725,0.0012815,0.027025,0.084811,0.97657,0.94951,0.89912,0.87803,0.78125,0.64921,0.45194
0.00257,0.0003965,0.003725,0.0018785,-0.021302,0.073883,0.98613,0.96072,0.9694,0.89513,0.85614,0.7474,0.47104
0.00257,0.0003965,0.003725,0.0023006,-0.041943,0.068732,0.94823,0.88741,0.8738,0.76771,0.79052,0.64736,0.39826
