-il,_it,_el,_et,pca_2,pca_1,fBD8,fBD7,fBD6,fBD5,fBD4,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.034923,0.068266,0.91302,0.8998,0.85452,0.82113,0.76304,0.66051,0.40331
0.0018032,0.0003965,0.003725,0.00158,0.031835,0.069149,0.93838,0.91523,0.88833,0.84579,0.76568,0.63422,0.42273
0.0019831,0.0003965,0.003725,0.00158,0.023388,0.071571,0.96319,0.95839,0.92019,0.90005,0.79708,0.66288,0.49406
0.0022524,0.0003965,0.003725,0.00158,0.011648,0.074958,0.9861,0.97219,0.95518,0.90978,0.85463,0.71814,0.47397
0.00257,0.0003965,0.003725,0.00158,-0.00097594,0.078628,0.99136,0.97633,0.95911,0.91895,0.83892,0.73498,0.50013
0.0028876,0.0003965,0.003725,0.00158,-0.012448,0.08199,0.98847,0.98578,0.96173,0.93883,0.82997,0.76071,0.52051
0.0031569,0.0003965,0.003725,0.00158,-0.021385,0.084628,0.99371,0.98654,0.94932,0.91563,0.85494,0.75732,0.454
0.0033368,0.0003965,0.003725,0.00158,-0.026991,0.086293,0.9786,0.97952,0.9516,0.90407,0.81005,0.72628,0.48605
0.0034,0.0003965,0.003725,0.00158,-0.02888,0.086862,0.98848,0.96125,0.95251,0.91563,0.81752,0.73223,0.47139
0.00174,0.000193,0.003725,0.00158,-0.038678,0.053485,0.51659,0.47746,0.43453,0.38442,0.35475,0.28521,0.18917
0.00174,0.0006,0.003725,0.00158,0.094471,0.080488,0.87479,0.86925,0.8003,0.7331,0.71328,0.53777,0.33978
0.0019831,0.000193,0.003725,0.00158,-0.050347,0.056887,0.60272,0.54859,0.48373,0.45459,0.3952,0.25443,0.16893
0.0019831,0.0006,0.003725,0.00158,0.083075,0.083706,0.91358,0.89542,0.85833,0.80303,0.77324,0.61262,0.44721
0.00257,0.000193,0.003725,0.00158,-0.074991,0.064149,0.63896,0.58593,0.51981,0.49655,0.41816,0.31692,0.22291
0.00257,0.0006,0.003725,0.00158,0.058985,0.090581,0.93971,0.90679,0.86119,0.83733,0.78729,0.62392,0.44996
0.0031569,0.000193,0.003725,0.00158,-0.095616,0.07032,0.56523,0.57241,0.53146,0.48461,0.41947,0.33262,0.20814
0.0031569,0.0006,0.003725,0.00158,0.038787,0.096428,0.9297,0.9089,0.92377,0.80639,0.67446,0.61135,0.42531
0.0034,0.000193,0.003725,0.00158,-0.10321,0.072615,0.59398,0.54062,0.49773,0.4641,0.39435,0.32456,0.22607
0.0034,0.0006,0.003725,0.00158,0.031345,0.098604,0.9158,0.91863,0.86543,0.83724,0.72725,0.65309,0.41428
0.00174,0.0003965,0.0012,0.00158,-0.065432,0.094663,0.92304,0.8947,0.88173,0.81784,0.72828,0.64894,0.41691
0.00174,0.0003965,0.00625,0.00158,0.074259,0.057218,0.728,0.70799,0.66755,0.60436,0.56533,0.47407,0.33177
0.0019831,0.0003965,0.0012,0.00158,-0.078229,0.098384,0.89368,0.88573,0.81046,0.77868,0.73663,0.58409,0.40145
0.0019831,0.0003965,0.00625,0.00158,0.065004,0.059908,0.76053,0.75995,0.7058,0.66947,0.59319,0.49367,0.32174
0.00257,0.0003965,0.0012,0.00158,-0.1029,0.10574,0.79976,0.72135,0.70834,0.66736,0.6378,0.5215,0.30453
0.00257,0.0003965,0.00625,0.00158,0.044684,0.065858,0.88508,0.86384,0.84062,0.80483,0.74375,0.60659,0.41383
0.0031569,0.0003965,0.0012,0.00158,-0.12144,0.11144,0.73837,0.68765,0.66752,0.6356,0.51942,0.44302,0.27357
0.0031569,0.0003965,0.00625,0.00158,0.026809,0.071142,0.96616,0.96015,0.90477,0.89923,0.82116,0.68288,0.47464
0.0034,0.0003965,0.0012,0.00158,-0.12784,0.11346,0.68775,0.6653,0.63798,0.57748,0.51346,0.47568,0.30086
0.0034,0.0003965,0.00625,0.00158,0.02002,0.073161,0.98568,0.96336,0.94855,0.9065,0.85658,0.67328,0.49907
