_il,_it,_el,_et,median,meanPt,stdPt,min,max, tsne1, tsne2
0.0034,0.000193,0.0012,0.00158,-0.45932,0.17461,3.0998,-13.783,15.211,15.211,-7.0367,0.0064374
0.0034,0.000193,0.00625,0.00158,-0.39997,0.049306,1.7727,-5.9381,8.3937,8.3937,2.4568,7.2503
0.0034,0.0006,0.0012,0.00158,-0.96123,0.097607,3.7251,-10.474,16.845,16.845,-6.6086,-5.1662
0.0034,0.0006,0.00625,0.00158,-0.91156,-0.026837,2.5429,-2.6422,10.225,10.225,1.6551,-4.9837
0.00174,0.000193,0.003725,0.0008,-0.6578,-0.0019248,2.0302,-3.4832,8.654,8.654,4.5471,2.9065
0.00174,0.000193,0.003725,0.00236,-0.32316,0.021469,1.4191,-5.3114,6.6866,6.6866,3.4617,9.2506
0.00174,0.0006,0.003725,0.0008,-1.342,-0.1083,3.2956,-2.3017,12.756,12.756,-1.0161,-8.7581
0.00174,0.0006,0.003725,0.00236,-0.71898,-0.042612,2.0201,-3.0389,8.3205,8.3205,5.2536,2.7868
0.00257,0.000193,0.003725,0.0008,-0.60307,0.093998,2.3559,-5.5109,10.633,10.633,0.64031,0.50417
0.00257,0.000193,0.003725,0.00236,-0.2753,0.11383,1.7589,-7.258,8.5482,8.5482,1.5181,8.1891
0.00257,0.0006,0.003725,0.0008,-1.3287,-0.020616,3.5385,-1.5022,13.5,13.5,-2.0987,-8.6495
0.00257,0.0006,0.003725,0.00236,-0.67242,0.045302,2.3036,-4.8941,10.026,10.026,1.7112,0.52008
0.0034,0.000193,0.003725,0.0008,-0.61902,0.10942,2.6226,-7.1419,12.141,12.141,-2.0561,-0.7779
0.0034,0.000193,0.003725,0.00236,-0.29639,0.12736,2.0329,-8.8697,9.9852,9.9852,-0.29373,6.6913
0.0034,0.0006,0.003725,0.0008,-1.3578,-0.011804,3.743,-2.4606,14.592,14.592,-2.9523,-8.3188
0.0034,0.0006,0.003725,0.00236,-0.69527,0.055298,2.5399,-6.4409,11.349,11.349,-0.77768,-0.87058
0.00174,0.0003965,0.0019396,0.00158,-0.69245,0.047137,2.483,-6.1583,10.992,10.992,-0.58838,0.10598
0.00174,0.0003965,0.0055104,0.00158,-0.66037,-0.022917,1.7987,-1.5295,7.1042,7.1042,6.216,4.601
0.00257,0.0003965,0.0019396,0.00158,-0.70881,0.078776,2.8324,-8.3752,12.925,12.925,-4.3134,-1.5703
0.00257,0.0003965,0.0055104,0.00158,-0.67292,-0.00036524,2.0469,-3.2905,8.6278,8.6278,5.0916,2.0836
0.0034,0.0003965,0.0019396,0.00158,-0.71768,0.10365,3.0938,-9.9937,14.37,14.37,-5.7388,-2.481
0.0034,0.0003965,0.0055104,0.00158,-0.6825,0.019329,2.2658,-4.7478,9.9246,9.9246,2.3297,0.66583
0.00174,0.0003965,0.0012,0.0008,-1.1045,0.03608,3.5474,-6.5743,15.168,15.168,-4.8507,-6.1456
0.00174,0.0003965,0.0012,0.00236,-0.56921,0.041799,2.4902,-8.568,11.313,11.313,-3.4864,2.1615
0.00174,0.0003965,0.00625,0.0008,-1.0622,-0.13476,2.4579,-1.9702,9.5348,9.5348,3.1684,-6.8294
0.00174,0.0003965,0.00625,0.00236,-0.53825,-0.060662,1.4244,-2.1265,5.8535,5.8535,5.7905,8.1284
0.00257,0.0003965,0.0012,0.0008,-1.1428,0.040615,3.8715,-8.7417,17.053,17.053,-5.9068,-6.1921
0.00257,0.0003965,0.0012,0.00236,-0.62129,0.048105,2.8456,-10.78,13.235,13.235,-5.6364,0.12209
0.00257,0.0003965,0.00625,0.0008,-1.0227,-0.032416,2.6613,-1.3363,10.205,10.205,2.0115,-6.7981
0.00257,0.0003965,0.00625,0.00236,-0.47146,0.040155,1.6663,-3.6778,7.3471,7.3471,5.0461,7.1149
0.0034,0.0003965,0.0012,0.0008,-1.0666,0.144,4.0984,-10.098,18.462,18.462,-6.4259,-6.3809
0.0034,0.0003965,0.0012,0.00236,-0.55279,0.15493,3.0973,-12.257,14.725,14.725,-6.8385,-0.80167
0.0034,0.0003965,0.00625,0.0008,-1.0714,-0.038048,2.8468,-1.5571,10.955,10.955,0.32302,-6.8491
0.0034,0.0003965,0.00625,0.00236,-0.50652,0.033846,1.8816,-5.0813,8.5351,8.5351,3.0021,5.9368
0.00174,0.0003965,0.003725,0.0010285,-0.91056,-0.032797,2.4525,-1.8003,9.5864,9.5864,2.6357,-5.3826
0.00174,0.0003965,0.003725,0.0021315,-0.55653,2.4029e-05,1.7915,-3.8831,7.7752,7.7752,4.579,5.9105
0.00257,0.0003965,0.003725,0.0010285,-0.92068,-0.0028176,2.7364,-3.8373,11.366,11.366,-0.15424,-5.0138
0.00257,0.0003965,0.003725,0.0021315,-0.57041,0.028749,2.0992,-5.8586,9.4893,9.4893,1.2308,3.8327
0.0034,0.0003965,0.003725,0.0010285,-0.92759,0.0214,2.973,-5.4313,12.795,12.795,-2.192,-5.2148
0.0034,0.0003965,0.003725,0.0021315,-0.57989,0.0527,2.3526,-7.4316,10.875,10.875,-1.1875,2.5979
0.00257,0.00020849,0.003725,0.00158,-0.44727,0.049381,1.9664,-6.8487,9.2694,9.2694,1.0295,6.0211
0.00257,0.00031862,0.003725,0.00158,-0.60079,0.028183,2.1801,-5.8458,9.855,9.855,1.1149,2.8446
0.00257,0.00047438,0.003725,0.00158,-0.79017,0.003362,2.4755,-4.6254,10.598,10.598,0.86078,-1.8947
0.00257,0.00058451,0.003725,0.00158,-0.90767,-0.011379,2.6725,-3.8781,11.083,11.083,0.35854,-4.4319
0.00257,0.0002526,0.0012,0.00158,-0.57294,0.10178,2.9335,-11.673,14.005,14.005,-6.2816,-0.15493
0.00257,0.0002526,0.00625,0.00158,-0.51169,-0.015952,1.6623,-3.9775,7.3897,7.3897,4.645,7.3993
0.00257,0.0005404,0.0012,0.00158,-0.92696,0.047782,3.4051,-9.4236,15.248,15.248,-5.981,-4.1525
0.00257,0.0005404,0.00625,0.00158,-0.793,0.010901,2.2466,-1.6086,8.8253,8.8253,3.9412,-4.1693
0.00257,0.0002526,0.003725,0.0008,-0.74292,0.07345,2.5633,-4.5944,11.1,11.1,0.18727,-2.8068
0.00257,0.0002526,0.003725,0.00236,-0.33862,0.10445,1.8361,-6.8578,8.7666,8.7666,1.3785,7.264
0.00257,0.0005404,0.003725,0.0008,-1.2598,-0.011146,3.3988,-1.3748,12.949,12.949,-1.8995,-8.2604
0.00257,0.0005404,0.003725,0.00236,-0.62357,0.051334,2.2244,-5.1963,9.814,9.814,1.6742,1.6693
0.00257,0.000193,0.0019396,0.00158,-0.41834,0.13381,2.4743,-10.139,11.991,11.991,-4.0801,2.7318
0.00257,0.000193,0.0055104,0.00158,-0.37777,0.055558,1.6285,-5.0787,7.615,7.615,3.4391,7.9094
0.00257,0.0006,0.0019396,0.00158,-0.91265,0.068519,3.1732,-6.9369,13.862,13.862,-4.0587,-4.8667
0.00257,0.0006,0.0055104,0.00158,-0.88083,-0.011184,2.4346,-1.827,9.5582,9.5582,2.7708,-4.9953
0.00257,0.000193,0.0012,0.0008,-0.66303,0.16567,3.2977,-11.439,15.662,15.662,-6.5249,-2.9622
0.00257,0.000193,0.0012,0.00236,-0.35047,0.14616,2.6111,-11.98,12.559,12.559,-5.3315,1.8534
0.00257,0.000193,0.00625,0.0008,-0.64233,0.00040735,1.954,-2.8975,8.2222,8.2222,5.2145,3.5921
0.00257,0.000193,0.00625,0.00236,-0.29559,0.039291,1.3716,-5.0216,6.5266,6.5266,4.0674,9.31
0.00257,0.0006,0.0012,0.0008,-1.3892,0.048398,4.3383,-6.7743,18.202,18.202,-5.8203,-7.2555
0.00257,0.0006,0.0012,0.00236,-0.7498,0.069902,3.0836,-9.6601,13.944,13.944,-6.0675,-1.7401
0.00257,0.0006,0.00625,0.0008,-1.3453,-0.13733,3.2067,-2.4537,12.452,12.452,-0.52076,-8.7328
0.00257,0.0006,0.00625,0.00236,-0.71365,-0.04764,1.9606,-2.6255,8.0148,8.0148,6.1321,3.2167
0.00257,0.000193,0.003725,0.0010285,-0.57349,0.029694,2.1796,-6.2472,10.033,10.033,0.60622,3.2426
0.00257,0.000193,0.003725,0.0021315,-0.36915,0.040034,1.8006,-7.2859,8.6557,8.6557,1.2931,7.7634
0.00257,0.0006,0.003725,0.0010285,-1.2215,-0.065105,3.2081,-2.1048,12.421,12.421,-1.4701,-7.6474
0.00257,0.0006,0.003725,0.0021315,-0.70661,0.056316,2.3964,-4.6297,10.331,10.331,1.2739,-0.84348
0.00257,0.0003965,0.0013922,0.00158,-0.69198,0.12913,3.0732,-9.7999,14.183,14.183,-5.772,-2.0905
0.00257,0.0003965,0.0027587,0.00158,-0.66121,0.08712,2.5611,-6.6522,11.546,11.546,-1.3945,-0.1811
0.00257,0.0003965,0.0046913,0.00158,-0.64292,0.046205,2.1594,-4.0253,9.3201,9.3201,3.7068,1.1987
0.00257,0.0003965,0.0060578,0.00158,-0.638,0.02541,1.9839,-2.818,8.2866,8.2866,5.8817,2.6628
0.00257,0.0003965,0.0019396,0.0008,-1.0533,0.078267,3.5209,-6.3283,15.135,15.135,-4.5601,-6.3222
0.00257,0.0003965,0.0019396,0.00236,-0.52853,0.10205,2.5183,-8.8753,11.74,11.74,-3.5533,2.0116
0.00257,0.0003965,0.0055104,0.0008,-1.0606,-0.047499,2.7412,-1.1671,10.416,10.416,1.283,-6.7086
0.00257,0.0003965,0.0055104,0.00236,-0.50412,0.01981,1.7498,-4.2501,7.7785,7.7785,4.1327,6.5612
0.00257,0.0003965,0.0012,0.0010285,-0.94773,0.096191,3.5921,-9.5061,16.198,16.198,-6.0352,-5.1745
0.00257,0.0003965,0.0012,0.0021315,-0.61107,0.098272,2.9236,-10.706,13.638,13.638,-5.9049,-0.61554
0.00257,0.0003965,0.00625,0.0010285,-0.92524,-0.059441,2.3753,-1.2266,9.0745,9.0745,3.4216,-5.3797
0.00257,0.0003965,0.00625,0.0021315,-0.55836,-0.012714,1.7343,-3.5105,7.4969,7.4969,5.2037,6.2674
0.00257,0.0003965,0.003725,0.00085937,-1.0467,-0.030116,2.9338,-3.1429,11.84,11.84,-0.72767,-6.3069
0.00257,0.0003965,0.003725,0.0012815,-0.80817,-0.0004178,2.5165,-4.6098,10.77,10.77,0.71928,-2.4704
0.00257,0.0003965,0.003725,0.0018785,-0.62976,0.015563,2.1916,-5.6233,9.7957,9.7957,1.4202,2.439
0.00257,0.0003965,0.003725,0.0023006,-0.55333,0.019672,2.0468,-5.9958,9.2889,9.2889,1.2353,4.5148
