P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
10,3.75,9,10,0.85111,1.2772,7.9197,4.8632,17.685
10,3.75,9,11,0.85297,1.2665,7.9048,4.6747,17.579
10,3.75,9,12,0.8539,1.2571,7.8709,4.5061,17.444
10,3.75,9,13,0.85381,1.2503,7.8305,4.3357,17.231
10,3.75,9,14,0.8558,1.0658,7.4429,3.5521,12.047
10,3.75,10,11,0.85238,1.2679,7.8961,4.6747,17.663
10,3.75,10,12,0.85338,1.258,7.8621,4.5054,17.508
10,3.75,10,13,0.85356,1.2508,7.8263,4.3329,17.264
10,3.75,10,14,0.85585,1.069,7.4524,3.5684,12.069
10,3.75,10,15,0.85634,0.97914,7.2281,3.218,11.022
10,3.75,11,12,0.85304,1.2568,7.8445,4.4537,17.539
10,3.75,11,13,0.85325,1.2504,7.8162,4.3102,17.308
10,3.75,11,14,0.85587,1.0658,7.4441,3.5571,12.037
10,3.75,11,15,0.8563,0.98946,7.2579,3.2591,11.085
10,3.75,11,16,0.85616,0.95032,7.1464,3.1103,10.856
10,3.75,12,13,0.85288,1.2495,7.8029,4.2847,17.34
10,3.75,12,14,0.85604,1.0462,7.3974,3.4777,11.782
10,3.75,12,15,0.8563,0.99095,7.2622,3.2637,11.092
10,3.75,12,16,0.85623,0.9663,7.1945,3.1706,10.917
10,3.75,12,17,0.85611,0.95256,7.154,3.122,10.853
10,3.75,13,14,0.85629,0.97307,7.2147,3.2021,10.966
10,3.75,13,15,0.85629,0.97307,7.2147,3.2021,10.966
10,3.75,13,16,0.85629,0.97307,7.2147,3.2021,10.966
10,3.75,13,17,0.85629,0.97307,7.2147,3.2021,10.966
10,3.75,13,18,0.85629,0.97307,7.2147,3.2021,10.966
10,4,9,10,0.84832,1.303,7.9391,5.0474,18.259
10,4,9,11,0.84999,1.2928,7.9114,4.8745,18.206
10,4,9,12,0.85073,1.2837,7.8738,4.747,18.09
10,4,9,13,0.8504,1.2772,7.8346,4.5915,17.954
10,4,9,14,0.85309,1.0756,7.4091,3.7707,11.955
10,4,10,11,0.84901,1.2957,7.8953,4.9305,18.345
10,4,10,12,0.8499,1.2856,7.861,4.7711,18.185
10,4,10,13,0.84991,1.2783,7.8279,4.6003,18.058
10,4,10,14,0.8531,1.0759,7.41,3.7696,11.966
10,4,10,15,0.85413,0.97724,7.1593,3.3314,10.821
10,4,11,12,0.84929,1.2852,7.8423,4.7328,18.29
10,4,11,13,0.84939,1.2784,7.8165,4.583,18.123
10,4,11,14,0.85316,1.0684,7.3908,3.7303,11.872
10,4,11,15,0.8541,0.98343,7.1779,3.3619,10.839
10,4,11,16,0.85421,0.94099,7.0501,3.1833,10.63
10,4,12,13,0.84881,1.2779,7.8036,4.5486,18.179
10,4,12,14,0.85349,1.0419,7.3266,3.613,11.489
10,4,12,15,0.85412,0.9798,7.1678,3.3456,10.821
10,4,12,16,0.85419,0.95279,7.0881,3.2276,10.653
10,4,12,17,0.85414,0.93804,7.0402,3.1727,10.608
10,4,13,14,0.85423,0.9546,7.0936,3.2336,10.661
10,4,13,15,0.85423,0.9546,7.0936,3.2336,10.661
10,4,13,16,0.85423,0.9546,7.0936,3.2336,10.661
10,4,13,17,0.85423,0.9546,7.0936,3.2336,10.661
10,4,13,18,0.85423,0.9546,7.0936,3.2336,10.661
10,4.25,9,10,0.84538,1.3286,8.0752,5.1802,18.878
10,4.25,9,11,0.84689,1.3189,8.0455,5.0492,18.913
10,4.25,9,12,0.84742,1.3101,8.0052,4.9301,18.819
10,4.25,9,13,0.84683,1.3041,7.9631,4.7959,18.705
10,4.25,9,14,0.85013,1.0864,7.5069,3.9722,11.979
10,4.25,10,11,0.84546,1.3236,8.0275,5.153,19.096
10,4.25,10,12,0.84622,1.3134,7.9901,4.9925,18.953
10,4.25,10,13,0.84604,1.3062,7.9539,4.8295,18.801
10,4.25,10,14,0.85008,1.0837,7.4985,3.9584,11.939
10,4.25,10,15,0.85164,0.977,7.2253,3.4685,10.7
10,4.25,11,12,0.84529,1.3139,7.9685,4.9744,19.077
10,4.25,11,13,0.84526,1.3069,7.94,4.8253,18.921
10,4.25,11,14,0.85016,1.0719,7.4675,3.9003,11.781
10,4.25,11,15,0.85163,0.97888,7.2313,3.4781,10.701
10,4.25,11,16,0.85202,0.93382,7.0895,3.2655,10.465
10,4.25,12,13,0.8444,1.307,7.9247,4.792,19.038
10,4.25,12,14,0.85069,1.0382,7.3847,3.7572,11.298
10,4.25,12,15,0.85174,0.96994,7.205,3.4377,10.656
10,4.25,12,16,0.85198,0.94117,7.1149,3.3059,10.479
10,4.25,12,17,0.852,0.92584,7.0607,3.2184,10.436
10,4.25,13,14,0.85202,0.93789,7.1037,3.2871,10.469
10,4.25,13,15,0.85202,0.93789,7.1037,3.2871,10.469
10,4.25,13,16,0.85202,0.93789,7.1037,3.2871,10.469
10,4.25,13,17,0.85202,0.93789,7.1037,3.2871,10.469
10,4.25,13,18,0.85202,0.93789,7.1037,3.2871,10.469
10,4.5,9,10,0.84241,1.3536,8.1989,5.2862,19.524
10,4.5,9,11,0.84372,1.3445,8.1674,5.1799,19.565
10,4.5,9,12,0.84403,1.3362,8.1246,5.0839,19.501
10,4.5,9,13,0.84318,1.3308,8.0798,4.9773,19.419
10,4.5,9,14,0.847,1.0979,7.5941,4.1579,12.055
10,4.5,10,11,0.84182,1.3513,8.1475,5.3134,19.828
10,4.5,10,12,0.84242,1.3411,8.1071,5.1749,19.707
10,4.5,10,13,0.84203,1.334,8.0681,5.0424,19.577
10,4.5,10,14,0.84685,1.0924,7.5762,4.1295,11.974
10,4.5,10,15,0.84893,0.97829,7.281,3.6084,10.628
10,4.5,11,12,0.84112,1.3427,8.0827,5.2036,19.834
10,4.5,11,13,0.84093,1.3356,8.0515,5.0584,19.677
10,4.5,11,14,0.84694,1.0762,7.5328,4.0495,11.731
10,4.5,11,15,0.84896,0.97589,7.2735,3.5964,10.613
10,4.5,11,16,0.84964,0.92893,7.1178,3.353,10.411
10,4.5,12,13,0.83977,1.3364,8.0337,5.0361,19.85
10,4.5,12,14,0.84769,1.0352,7.4305,3.8599,11.211
10,4.5,12,15,0.8492,0.96172,7.2296,3.5262,10.529
10,4.5,12,16,0.84961,0.93188,7.129,3.3728,10.403
10,4.5,12,17,0.84972,0.91648,7.0684,3.2694,10.39
10,4.5,13,14,0.84971,0.92391,7.0986,3.3162,10.386
10,4.5,13,15,0.84971,0.92391,7.0986,3.3162,10.386
10,4.5,13,16,0.84971,0.92391,7.0986,3.3162,10.386
10,4.5,13,17,0.84971,0.92391,7.0986,3.3162,10.386
10,4.5,13,18,0.84971,0.92391,7.0986,3.3162,10.386
10,4.75,9,10,0.83943,1.3779,8.3117,5.3701,20.136
10,4.75,9,11,0.84055,1.3695,8.2785,5.3018,20.175
10,4.75,9,12,0.84063,1.3618,8.2332,5.2167,20.162
10,4.75,9,13,0.8395,1.357,8.1858,5.1388,20.152
10,4.75,9,14,0.84377,1.1098,7.6721,4.3336,12.149
10,4.75,10,11,0.83814,1.3784,8.2567,5.4732,20.537
10,4.75,10,12,0.83857,1.3684,8.2134,5.346,20.471
10,4.75,10,13,0.83795,1.3616,8.1716,5.2146,20.364
10,4.75,10,14,0.84347,1.1017,7.6444,4.3088,12.023
10,4.75,10,15,0.84604,0.98095,7.3281,3.7236,10.639
10,4.75,11,12,0.83686,1.3713,8.1862,5.4109,20.696
10,4.75,11,13,0.83649,1.3642,8.1523,5.2692,20.569
10,4.75,11,14,0.84354,1.0812,7.5882,4.2149,11.773
10,4.75,11,15,0.84612,0.97444,7.3063,3.6881,10.6
10,4.75,11,16,0.8471,0.92634,7.1371,3.4373,10.384
10,4.75,12,13,0.83497,1.366,8.1321,5.2947,20.804
10,4.75,12,14,0.84452,1.0332,7.4657,3.9581,11.152
10,4.75,12,15,0.84651,0.95539,7.2437,3.5957,10.515
10,4.75,12,16,0.84712,0.92523,7.1325,3.4331,10.382
10,4.75,12,17,0.84732,0.91031,7.0657,3.3232,10.43
10,4.75,13,14,0.84731,0.91348,7.0808,3.3466,10.408
10,4.75,13,15,0.84731,0.91348,7.0808,3.3466,10.408
10,4.75,13,16,0.84731,0.91348,7.0808,3.3466,10.408
10,4.75,13,17,0.84731,0.91348,7.0808,3.3466,10.408
10,4.75,13,18,0.84731,0.91348,7.0808,3.3466,10.408
11,3.75,9,10,0.85114,1.4418,8.7622,5.5922,22.574
11,3.75,9,11,0.85297,1.4303,8.7454,5.4091,22.658
11,3.75,9,12,0.8539,1.4195,8.7081,5.283,22.629
11,3.75,9,13,0.85381,1.4114,8.6637,5.1462,22.554
11,3.75,9,14,0.8558,1.2007,8.2373,4.465,13.519
11,3.75,10,11,0.85238,1.4317,8.7359,5.4534,22.856
11,3.75,10,12,0.85338,1.4204,8.6985,5.2986,22.781
11,3.75,10,13,0.85356,1.4117,8.6591,5.1519,22.609
11,3.75,10,14,0.85585,1.2045,8.2478,4.4834,13.605
11,3.75,10,15,0.85634,1.0994,8.0011,4.0728,11.55
11,3.75,11,12,0.85305,1.4188,8.6791,5.2635,22.852
11,3.75,11,13,0.85325,1.4111,8.648,5.1342,22.671
11,3.75,11,14,0.85587,1.2007,8.2387,4.4678,13.515
11,3.75,11,15,0.8563,1.1117,8.0339,4.1281,11.713
11,3.75,11,16,0.85616,1.065,7.9112,3.934,11.044
11,3.75,12,13,0.85288,1.4099,8.6333,5.114,22.711
11,3.75,12,14,0.85604,1.1779,8.1873,4.3849,13.025
11,3.75,12,15,0.8563,1.1134,8.0386,4.1359,11.741
