-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.0012,0.00236,-0.10418,0.082035,0.53627,0.35652
0.00174,0.0003965,0.00625,0.0008,0.18018,0.077396,0.31355,0.18424
0.00174,0.0003965,0.00625,0.00236,0.02909,0.047834,0.38599,0.26681
0.00257,0.0003965,0.0012,0.0008,-0.004408,0.13066,0.22204,0.18887
0.00257,0.0003965,0.0012,0.00236,-0.14175,0.093015,0.43118,0.32715
0.00257,0.0003965,0.00625,0.0008,0.1503,0.08632,0.4067,0.26247
0.00257,0.0003965,0.00625,0.00236,-0.00017478,0.056236,0.40228,0.30105
0.0034,0.0003965,0.0012,0.0008,-0.02866,0.13821,0.29222,0.22216
0.0034,0.0003965,0.0012,0.00236,-0.16708,0.10078,0.36812,0.24428
0.0034,0.0003965,0.00625,0.0008,0.12546,0.093825,0.38778,0.28332
0.0034,0.0003965,0.00625,0.00236,-0.024648,0.063363,0.57851,0.35254
0.00174,0.0003965,0.003725,0.0010285,0.09651,0.081229,0.50925,0.31271
0.00174,0.0003965,0.003725,0.0021315,0.0010575,0.060463,0.51257,0.40316
0.00257,0.0003965,0.003725,0.0010285,0.060358,0.091813,0.55642,0.38733
0.00257,0.0003965,0.003725,0.0021315,-0.034565,0.070621,0.65309,0.4648
0.0034,0.0003965,0.003725,0.0010285,0.032339,0.10018,0.52337,0.34578
0.0034,0.0003965,0.003725,0.0021315,-0.062375,0.078727,0.5993,0.41791
0.00257,0.00020849,0.003725,0.00158,-0.068754,0.065359,0.43195,0.29839
0.00257,0.00031862,0.003725,0.00158,-0.027393,0.073429,0.70032,0.4419
0.00257,0.00047438,0.003725,0.00158,0.023405,0.083461,0.67318,0.48182
0.00257,0.00058451,0.003725,0.00158,0.054826,0.089744,0.59527,0.33332
0.00257,0.0002526,0.0012,0.00158,-0.15347,0.095708,0.45479,0.33379
0.00257,0.0002526,0.00625,0.00158,-0.0060653,0.056069,0.42757,0.3424
0.00257,0.0005404,0.0012,0.00158,-0.059299,0.11449,0.39455,0.28212
0.00257,0.0005404,0.00625,0.00158,0.088438,0.07441,0.59273,0.37953
0.00257,0.0002526,0.003725,0.0008,0.028837,0.086355,0.70968,0.51032
0.00257,0.0002526,0.003725,0.00236,-0.082078,0.060472,0.27845,0.16059
0.00257,0.0005404,0.003725,0.0008,0.16098,0.11159,0.22624,0.17196
0.00257,0.0005404,0.003725,0.00236,-0.010362,0.075053,0.7744,0.4773
0.00257,0.000193,0.0019396,0.00158,-0.13591,0.080438,0.36119,0.23996
0.00257,0.000193,0.0055104,0.00158,-0.040021,0.054519,0.30443,0.1966
0.00257,0.0006,0.0019396,0.00158,-0.0020999,0.10709,0.48144,0.33357
0.00257,0.0006,0.0055104,0.00158,0.094243,0.080686,0.57403,0.36865
0.00257,0.000193,0.0012,0.0008,-0.11571,0.10958,0.50752,0.28432
0.00257,0.000193,0.0012,0.00236,-0.19633,0.081827,0.2717,0.16075
0.00257,0.000193,0.00625,0.0008,0.038944,0.065613,0.56877,0.40981
0.00257,0.000193,0.00625,0.00236,-0.055089,0.045368,0.18937,0.12306
0.00257,0.0006,0.0012,0.0008,0.074177,0.14591,0.10252,0.070139
0.00257,0.0006,0.0012,0.00236,-0.09484,0.10276,0.46312,0.30443
0.00257,0.0006,0.00625,0.0008,0.22899,0.10137,0.14465,0.096078
0.00257,0.0006,0.00625,0.00236,0.047038,0.065716,0.6253,0.41092
0.00257,0.000193,0.003725,0.0010285,-0.037067,0.073242,0.65761,0.41989
0.00257,0.000193,0.003725,0.0021315,-0.093843,0.05876,0.31865,0.2605
0.00257,0.0006,0.003725,0.0010285,0.13311,0.10603,0.27166,0.20882
0.00257,0.0006,0.003725,0.0021315,0.015693,0.080838,0.72557,0.532
0.00257,0.0003965,0.0013922,0.00158,-0.090905,0.10262,0.53796,0.36352
0.00257,0.0003965,0.0027587,0.00158,-0.0292,0.086305,0.71547,0.53203
0.00257,0.0003965,0.0046913,0.00158,0.020081,0.072802,0.70595,0.43294
0.00257,0.0003965,0.0060578,0.00158,0.042116,0.066592,0.60188,0.40445
0.00257,0.0003965,0.0019396,0.0008,0.038939,0.11865,0.37244,0.25098
0.00257,0.0003965,0.0019396,0.00236,-0.10278,0.083244,0.45859,0.35825
0.00257,0.0003965,0.0055104,0.0008,0.13943,0.089607,0.42849,0.26659
0.00257,0.0003965,0.0055104,0.00236,-0.010396,0.05903,0.47443,0.28225
0.00257,0.0003965,0.0012,0.0010285,-0.045313,0.121,0.41382,0.25476
0.00257,0.0003965,0.0012,0.0021315,-0.13323,0.096105,0.47659,0.29566
0.00257,0.0003965,0.00625,0.0010285,0.1072,0.078193,0.45258,0.31848
0.00257,0.0003965,0.00625,0.0021315,0.0099912,0.058508,0.52351,0.34004
0.00257,0.0003965,0.003725,0.00085937,0.090369,0.097887,0.45125,0.23887
0.00257,0.0003965,0.003725,0.0012815,0.027025,0.084811,0.67691,0.47312
0.00257,0.0003965,0.003725,0.0018785,-0.021302,0.073883,0.74292,0.50804
0.00257,0.0003965,0.003725,0.0023006,-0.041943,0.068732,0.54335,0.38722
