-il,_it,_el,_et,pca_2,pca_1,fBD3,fBD2
0.00174,0.0003965,0.003725,0.00158,0.068528,0.12616,0.59681,0.40691
0.0019831,0.0003965,0.003725,0.00158,0.045962,0.13227,0.67298,0.41325
0.00257,0.0003965,0.003725,0.00158,-0.0016879,0.14531,0.71936,0.51057
0.0031569,0.0003965,0.003725,0.00158,-0.041597,0.1564,0.7266,0.46941
0.0034,0.0003965,0.003725,0.00158,-0.056283,0.16053,0.68186,0.46157
0.00174,0.000193,0.003725,0.00158,-0.075539,0.09885,0.20955,0.1474
0.00174,0.0006,0.003725,0.00158,0.18509,0.14874,0.5833,0.39138
0.00257,0.000193,0.003725,0.00158,-0.14655,0.11856,0.28291,0.16383
0.00257,0.0006,0.003725,0.00158,0.11568,0.1674,0.59927,0.4288
0.0034,0.000193,0.003725,0.00158,-0.2017,0.13421,0.32889,0.18609
0.0034,0.0006,0.003725,0.00158,0.061623,0.18223,0.58412,0.38788
0.00174,0.0003965,0.0012,0.00158,-0.12796,0.17494,0.60259,0.40878
0.00174,0.0003965,0.00625,0.00158,0.14548,0.10574,0.40977,0.26527
0.00257,0.0003965,0.0012,0.00158,-0.20121,0.19542,0.49576,0.36982
0.00257,0.0003965,0.00625,0.00158,0.087651,0.12171,0.57552,0.39402
0.0034,0.0003965,0.0012,0.00158,-0.24996,0.20969,0.39601,0.30848
0.0034,0.0003965,0.00625,0.00158,0.039428,0.13521,0.7799,0.50059
0.00174,0.0003965,0.003725,0.0008,0.27271,0.16578,0.3834,0.25186
0.00174,0.0003965,0.003725,0.00236,-0.017094,0.10725,0.46857,0.32348
0.00257,0.0003965,0.003725,0.0008,0.20181,0.18552,0.35093,0.23443
0.00257,0.0003965,0.003725,0.00236,-0.086559,0.12588,0.56237,0.42765
0.0034,0.0003965,0.003725,0.0008,0.14698,0.20108,0.31282,0.20763
0.0034,0.0003965,0.003725,0.00236,-0.14084,0.14078,0.58887,0.44809
0.00257,0.0002526,0.003725,0.00158,-0.10072,0.12697,0.57249,0.32482
0.00257,0.0005404,0.003725,0.00158,0.083687,0.16134,0.64688,0.40302
0.00257,0.000193,0.0012,0.00158,-0.34601,0.16838,0.34968,0.23266
0.00257,0.000193,0.00625,0.00158,-0.0576,0.095336,0.30402,0.21304
0.00257,0.0006,0.0012,0.00158,-0.083895,0.21769,0.348,0.2229
0.00257,0.0006,0.00625,0.00158,0.20539,0.14349,0.47951,0.30202
0.00257,0.000193,0.003725,0.0008,-0.01577,0.14681,0.75472,0.49027
0.00257,0.000193,0.003725,0.00236,-0.19363,0.10548,0.25938,0.17545
0.00257,0.0006,0.003725,0.0008,0.35543,0.21364,0.11349,0.089319
0.00257,0.0006,0.003725,0.00236,0.0054643,0.14368,0.73233,0.44322
0.00257,0.0003965,0.0019396,0.00158,-0.12111,0.17566,0.64618,0.3825
0.00257,0.0003965,0.0055104,0.00158,0.067033,0.12724,0.64759,0.41496
0.00257,0.0003965,0.0012,0.0008,-0.0082571,0.24147,0.22216,0.11282
0.00257,0.0003965,0.0012,0.00236,-0.27741,0.1719,0.40576,0.28102
0.00257,0.0003965,0.00625,0.0008,0.29435,0.15951,0.27191,0.18628
0.00257,0.0003965,0.00625,0.00236,-0.00018093,0.10393,0.55943,0.34138
0.00257,0.0003965,0.003725,0.0010285,0.11841,0.16968,0.47623,0.36038
0.00257,0.0003965,0.003725,0.0021315,-0.06748,0.13052,0.73343,0.49422
