_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.1537,0.12376,0.10151
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,-0.024777,0.085626,0.48049
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,-0.022825,0.083707,0.47729
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.065446,0.059741,0.34019
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,-0.061984,0.095047,0.44586
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.034144,0.068852,0.43796
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,-0.089728,0.10336,0.38894
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.0084532,0.076442,0.48674
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.032583,0.11961,0.21692
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,-0.10418,0.082035,0.33624
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.18018,0.077396,0.20002
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.02909,0.047834,0.27356
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,-0.004408,0.13066,0.15273
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,-0.14175,0.093015,0.30042
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.1503,0.08632,0.26432
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,-0.00017478,0.056236,0.25974
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,-0.02866,0.13821,0.18163
0.0034,0.0003965,0.0012,0.00236,0.15493,3.0973,-0.16708,0.10078,0.26105
0.0034,0.0003965,0.00625,0.0008,-0.038048,2.8468,0.12546,0.093825,0.26806
0.0034,0.0003965,0.00625,0.00236,0.033846,1.8816,-0.024648,0.063363,0.33913
0.00174,0.0003965,0.003725,0.0010285,-0.032797,2.4525,0.09651,0.081229,0.34306
0.00174,0.0003965,0.003725,0.0021315,2.4029e-05,1.7915,0.0010575,0.060463,0.3666
0.00257,0.0003965,0.003725,0.0010285,-0.0028176,2.7364,0.060358,0.091813,0.38765
0.00257,0.0003965,0.003725,0.0021315,0.028749,2.0992,-0.034565,0.070621,0.43119
0.0034,0.0003965,0.003725,0.0010285,0.0214,2.973,0.032339,0.10018,0.36112
0.0034,0.0003965,0.003725,0.0021315,0.0527,2.3526,-0.062375,0.078727,0.42624
0.00257,0.00020849,0.003725,0.00158,0.049381,1.9664,-0.068754,0.065359,0.31386
0.00257,0.00031862,0.003725,0.00158,0.028183,2.1801,-0.027393,0.073429,0.47137
0.00257,0.00047438,0.003725,0.00158,0.003362,2.4755,0.023405,0.083461,0.47419
0.00257,0.00058451,0.003725,0.00158,-0.011379,2.6725,0.054826,0.089744,0.3814
0.00257,0.0002526,0.0012,0.00158,0.10178,2.9335,-0.15347,0.095708,0.31015
0.00257,0.0002526,0.00625,0.00158,-0.015952,1.6623,-0.0060653,0.056069,0.30505
0.00257,0.0005404,0.0012,0.00158,0.047782,3.4051,-0.059299,0.11449,0.27042
0.00257,0.0005404,0.00625,0.00158,0.010901,2.2466,0.088438,0.07441,0.38905
0.00257,0.0002526,0.003725,0.0008,0.07345,2.5633,0.028837,0.086355,0.47357
0.00257,0.0002526,0.003725,0.00236,0.10445,1.8361,-0.082078,0.060472,0.20107
0.00257,0.0005404,0.003725,0.0008,-0.011146,3.3988,0.16098,0.11159,0.15376
0.00257,0.0005404,0.003725,0.00236,0.051334,2.2244,-0.010362,0.075053,0.49735
0.00257,0.000193,0.0019396,0.00158,0.13381,2.4743,-0.13591,0.080438,0.26829
0.00257,0.000193,0.0055104,0.00158,0.055558,1.6285,-0.040021,0.054519,0.20402
0.00257,0.0006,0.0019396,0.00158,0.068519,3.1732,-0.0020999,0.10709,0.33873
0.00257,0.0006,0.0055104,0.00158,-0.011184,2.4346,0.094243,0.080686,0.37278
0.00257,0.000193,0.0012,0.0008,0.16567,3.2977,-0.11571,0.10958,0.3504
0.00257,0.000193,0.0012,0.00236,0.14616,2.6111,-0.19633,0.081827,0.1825
0.00257,0.000193,0.00625,0.0008,0.00040735,1.954,0.038944,0.065613,0.38398
0.00257,0.000193,0.00625,0.00236,0.039291,1.3716,-0.055089,0.045368,0.11646
0.00257,0.0006,0.0012,0.0008,0.048398,4.3383,0.074177,0.14591,0.073265
0.00257,0.0006,0.0012,0.00236,0.069902,3.0836,-0.09484,0.10276,0.30848
0.00257,0.0006,0.00625,0.0008,-0.13733,3.2067,0.22899,0.10137,0.097459
0.00257,0.0006,0.00625,0.00236,-0.04764,1.9606,0.047038,0.065716,0.41774
0.00257,0.000193,0.003725,0.0010285,0.029694,2.1796,-0.037067,0.073242,0.43288
0.00257,0.000193,0.003725,0.0021315,0.040034,1.8006,-0.093843,0.05876,0.2271
0.00257,0.0006,0.003725,0.0010285,-0.065105,3.2081,0.13311,0.10603,0.18762
0.00257,0.0006,0.003725,0.0021315,0.056316,2.3964,0.015693,0.080838,0.48808
0.00257,0.0003965,0.0013922,0.00158,0.12913,3.0732,-0.090905,0.10262,0.36428
0.00257,0.0003965,0.0027587,0.00158,0.08712,2.5611,-0.0292,0.086305,0.48995
0.00257,0.0003965,0.0046913,0.00158,0.046205,2.1594,0.020081,0.072802,0.46725
0.00257,0.0003965,0.0060578,0.00158,0.02541,1.9839,0.042116,0.066592,0.39724
0.00257,0.0003965,0.0019396,0.0008,0.078267,3.5209,0.038939,0.11865,0.24639
0.00257,0.0003965,0.0019396,0.00236,0.10205,2.5183,-0.10278,0.083244,0.33975
0.00257,0.0003965,0.0055104,0.0008,-0.047499,2.7412,0.13943,0.089607,0.26699
0.00257,0.0003965,0.0055104,0.00236,0.01981,1.7498,-0.010396,0.05903,0.3011
0.00257,0.0003965,0.0012,0.0010285,0.096191,3.5921,-0.045313,0.121,0.26633
0.00257,0.0003965,0.0012,0.0021315,0.098272,2.9236,-0.13323,0.096105,0.30022
0.00257,0.0003965,0.00625,0.0010285,-0.059441,2.3753,0.1072,0.078193,0.31911
0.00257,0.0003965,0.00625,0.0021315,-0.012714,1.7343,0.0099912,0.058508,0.33985
0.00257,0.0003965,0.003725,0.00085937,-0.030116,2.9338,0.090369,0.097887,0.28113
0.00257,0.0003965,0.003725,0.0012815,-0.0004178,2.5165,0.027025,0.084811,0.44673
0.00257,0.0003965,0.003725,0.0018785,0.015563,2.1916,-0.021302,0.073883,0.49373
0.00257,0.0003965,0.003725,0.0023006,0.019672,2.0468,-0.041943,0.068732,0.39929
