_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2
0.00174,0.0003965,0.003725,0.00158,0.04277,2.0298,0.068528,0.12616,0.40857
0.0019831,0.0003965,0.003725,0.00158,0.053546,2.1236,0.045962,0.13227,0.44679
0.00257,0.0003965,0.003725,0.00158,0.07741,2.3298,-0.0016879,0.14531,0.48939
0.0031569,0.0003965,0.003725,0.00158,0.09858,2.51,-0.041597,0.1564,0.50008
0.0034,0.0003965,0.003725,0.00158,0.10667,2.578,-0.056283,0.16053,0.4511
0.00174,0.000193,0.003725,0.00158,0.050209,1.5962,-0.075539,0.09885,0.16007
0.00174,0.0006,0.003725,0.00158,-0.007531,2.4291,0.18509,0.14874,0.39181
0.00257,0.000193,0.003725,0.00158,0.094193,1.9367,-0.14655,0.11856,0.18851
0.00257,0.0006,0.003725,0.00158,0.029649,2.6992,0.11568,0.1674,0.41961
0.0034,0.000193,0.003725,0.00158,0.13178,2.2122,-0.2017,0.13421,0.18787
0.0034,0.0006,0.003725,0.00158,0.061683,2.9256,0.061623,0.18223,0.4035
0.00174,0.0003965,0.0012,0.00158,0.089957,2.8246,-0.12796,0.17494,0.41774
0.00174,0.0003965,0.00625,0.00158,-0.016196,1.7337,0.14548,0.10574,0.29654
0.00257,0.0003965,0.0012,0.00158,0.11481,3.1734,-0.20121,0.19542,0.33717
0.00257,0.0003965,0.00625,0.00158,-0.0035998,1.9636,0.087651,0.12171,0.39193
0.0034,0.0003965,0.0012,0.00158,0.13273,3.4192,-0.24996,0.20969,0.28162
0.0034,0.0003965,0.00625,0.00158,0.0077243,2.1704,0.039428,0.13521,0.48915
0.00174,0.0003965,0.003725,0.0008,-0.065621,2.7438,0.27271,0.16578,0.23576
0.00174,0.0003965,0.003725,0.00236,-0.013884,1.7202,-0.017094,0.10725,0.31043
0.00257,0.0003965,0.003725,0.0008,-0.043428,3.0167,0.20181,0.18552,0.24678
0.00257,0.0003965,0.003725,0.00236,0.0069568,2.0298,-0.086559,0.12588,0.40083
0.0034,0.0003965,0.003725,0.0008,-0.026777,3.2449,0.14698,0.20108,0.21697
0.0034,0.0003965,0.003725,0.00236,0.023591,2.2842,-0.14084,0.14078,0.39296
0.00257,0.0002526,0.003725,0.00158,0.0097764,2.0517,-0.10072,0.12697,0.34863
0.00257,0.0005404,0.003725,0.00158,-0.035918,2.595,0.083687,0.16134,0.41261
0.00257,0.000193,0.0012,0.00158,0.083199,2.8345,-0.34601,0.16838,0.234
0.00257,0.000193,0.00625,0.00158,-0.034146,1.5366,-0.0576,0.095336,0.20859
0.00257,0.0006,0.0012,0.00158,0.013084,3.4971,-0.083895,0.21769,0.24293
0.00257,0.0006,0.00625,0.00158,-0.10588,2.3569,0.20539,0.14349,0.33404
0.00257,0.000193,0.003725,0.0008,-0.0095984,2.3559,-0.01577,0.14681,0.50822
0.00257,0.000193,0.003725,0.00236,0.010237,1.7589,-0.19363,0.10548,0.17344
0.00257,0.0006,0.003725,0.0008,-0.12421,3.5385,0.35543,0.21364,0.07579
0.00257,0.0006,0.003725,0.00236,-0.05829,2.3036,0.0054643,0.14368,0.48791
0.00257,0.0003965,0.0019396,0.00158,-0.0053649,2.8324,-0.12111,0.17566,0.40948
0.00257,0.0003965,0.0055104,0.00158,-0.084507,2.0469,0.067033,0.12724,0.42552
0.00257,0.0003965,0.0012,0.0008,-0.0026008,3.8715,-0.0082571,0.24147,0.13594
0.00257,0.0003965,0.0012,0.00236,0.0048902,2.8456,-0.27741,0.1719,0.28631
0.00257,0.0003965,0.00625,0.0008,-0.18192,2.6613,0.29435,0.15951,0.17125
0.00257,0.0003965,0.00625,0.00236,-0.10932,1.6663,-0.00018093,0.10393,0.3899
0.00257,0.0003965,0.003725,0.0010285,-0.11434,2.7364,0.11841,0.16968,0.33312
0.00257,0.0003965,0.003725,0.0021315,-0.082775,2.0992,-0.06748,0.13052,0.48071
