P1,P2,P3,P4,PCC,RSME,AE,3mVAE,1mVAE
25,7,12,17,0.85134,0.90672,6.3975,3.2426,11.109
25,7,13,14,0.85163,0.91227,6.4287,3.2845,11.094
25,7,13,15,0.85163,0.91227,6.4287,3.2845,11.094
25,7,13,16,0.85163,0.91227,6.4287,3.2845,11.094
25,7,13,17,0.85163,0.91227,6.4287,3.2845,11.094
25,7,13,18,0.85163,0.91227,6.4287,3.2845,11.094
25,7.25,9,10,0.83974,1.3217,7.6703,5.475,16.223
25,7.25,9,11,0.84404,1.3082,7.6414,5.2762,16.229
25,7.25,9,12,0.84688,1.2979,7.6096,5.1732,16.174
25,7.25,9,13,0.84812,1.2924,7.5785,5.0926,16.092
25,7.25,9,14,0.85039,1.0676,7.0582,4.299,11.88
25,7.25,10,11,0.84387,1.3128,7.6223,5.4094,16.273
25,7.25,10,12,0.84635,1.3024,7.5943,5.2748,16.266
25,7.25,10,13,0.8475,1.2961,7.5682,5.1654,16.204
25,7.25,10,14,0.85039,1.0599,7.0317,4.2773,11.807
25,7.25,10,15,0.85104,0.95609,6.7099,3.6702,11.018
25,7.25,11,12,0.84589,1.305,7.5767,5.3195,16.392
25,7.25,11,13,0.84687,1.2988,7.5559,5.2023,16.326
25,7.25,11,14,0.85059,1.0418,6.9776,4.1815,11.619
25,7.25,11,15,0.8511,0.95063,6.6884,3.6378,11.007
25,7.25,11,16,0.85069,0.91258,6.5149,3.3239,10.991
25,7.25,12,13,0.84619,1.3009,7.5435,5.2031,16.527
25,7.25,12,14,0.8511,0.99977,6.8547,3.9223,11.297
25,7.25,12,15,0.85113,0.93505,6.6252,3.4983,10.974
25,7.25,12,16,0.85068,0.91172,6.5103,3.3147,10.999
25,7.25,12,17,0.85022,0.90093,6.4413,3.1993,11.071
25,7.25,13,14,0.85035,0.90317,6.4569,3.2171,11.048
25,7.25,13,15,0.85035,0.90317,6.4569,3.2171,11.048
25,7.25,13,16,0.85035,0.90317,6.4569,3.2171,11.048
25,7.25,13,17,0.85035,0.90317,6.4569,3.2171,11.048
25,7.25,13,18,0.85035,0.90317,6.4569,3.2171,11.048
27.5,6.25,9,10,0.84699,1.3982,8.0571,5.7698,17.049
27.5,6.25,9,11,0.85138,1.3829,8.0128,5.5027,17.12
27.5,6.25,9,12,0.85458,1.3703,7.9768,5.3511,17.092
27.5,6.25,9,13,0.85647,1.3616,7.9465,5.2055,17.026
27.5,6.25,9,14,0.85634,1.1715,7.523,4.5596,13.195
27.5,6.25,10,11,0.85231,1.3815,7.9881,5.5209,17.117
27.5,6.25,10,12,0.85492,1.3699,7.963,5.3504,17.08
27.5,6.25,10,13,0.85651,1.3616,7.9418,5.2038,17.022
27.5,6.25,10,14,0.85627,1.1751,7.5338,4.5738,13.244
27.5,6.25,10,15,0.85503,1.0841,7.2895,4.2038,12.32
27.5,6.25,11,12,0.8554,1.3682,7.95,5.3046,17.119
27.5,6.25,11,13,0.85662,1.3611,7.9353,5.1782,17.047
27.5,6.25,11,14,0.85629,1.1718,7.5254,4.5596,13.204
27.5,6.25,11,15,0.85503,1.0947,7.321,4.2511,12.384
27.5,6.25,11,16,0.85382,1.0556,7.1978,4.0764,12.14
27.5,6.25,12,13,0.85674,1.36,7.9284,5.1356,17.075
27.5,6.25,12,14,0.85622,1.1517,7.4758,4.4769,12.966
27.5,6.25,12,15,0.85504,1.0962,7.3253,4.2596,12.391
27.5,6.25,12,16,0.85424,1.0717,7.2496,4.1488,12.241
27.5,6.25,12,17,0.85366,1.0581,7.2041,4.0945,12.155
27.5,6.25,13,14,0.85451,1.0784,7.271,4.1822,12.27
27.5,6.25,13,15,0.85451,1.0784,7.271,4.1822,12.27
27.5,6.25,13,16,0.85451,1.0784,7.271,4.1822,12.27
27.5,6.25,13,17,0.85451,1.0784,7.271,4.1822,12.27
