_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3,cl_4,cl_5
0.00174,0.0003965,0.003725,0.00158,-0.13849,2.0298,6022.6,568.54,432.39,48.639,0
0.00257,0.0003965,0.003725,0.00158,-0.10448,2.3298,4703.9,1606.2,1000.2,0,0
0.0034,0.0003965,0.003725,0.00158,-0.075648,2.578,3662.9,2428.4,1467.8,0,0
0.00257,0.000193,0.003725,0.00158,-0.06644,1.9367,6416.2,907.93,0,0,0
0.00257,0.0006,0.003725,0.00158,-0.13482,2.6992,3291.6,2190.9,1962.3,0,0
0.00257,0.0003965,0.0012,0.00158,-0.03472,3.1734,1171.8,4345.1,2247.8,0,0
0.00257,0.0003965,0.00625,0.00158,-0.13869,1.9636,6349.1,321.15,339.62,34.022,0
0.00257,0.0003965,0.003725,0.0008,-0.14593,3.0166,2148.8,2704.7,2776.4,0,0
0.00257,0.0003965,0.003725,0.00236,-0.081219,2.0298,5947.8,1022.1,107.74,16.303,0
