_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2
0.00174,0.0003965,0.003725,0.00158,-0.13849,2.0298,5910.4,1100.4
0.00257,0.0003965,0.003725,0.00158,-0.10448,2.3298,4496.8,2583.1
0.0034,0.0003965,0.003725,0.00158,-0.075648,2.578,3376.9,3759.1
0.00257,0.000193,0.003725,0.00158,-0.06644,1.9367,7051.9,0
0.00257,0.0006,0.003725,0.00158,-0.13482,2.6992,2395,4720
0.00257,0.0003965,0.0012,0.00158,-0.03472,3.1734,767.3,6480.9
0.00257,0.0003965,0.00625,0.00158,-0.13869,1.9636,6251.1,748.58
0.00257,0.0003965,0.003725,0.0008,-0.14593,3.0166,716.58,6436.2
0.00257,0.0003965,0.003725,0.00236,-0.081219,2.0298,6297.2,749.47
