cond1,cond2,cond3,cond4
0.00174,0.0003965,0.003725,0.00158
0.00257,0.0003965,0.003725,0.00158
0.0034,0.0003965,0.003725,0.00158
0.00257,0.000193,0.003725,0.00158
0.00257,0.0006,0.003725,0.00158
0.00257,0.0003965,0.0012,0.00158
0.00257,0.0003965,0.00625,0.00158
0.00257,0.0003965,0.003725,0.0008
0.00257,0.0003965,0.003725,0.00236
