_il,_it,_el,_et,median,meanPt,stdPt,min,max, tsneDist
0.0034,0.0006,0.0012,0.00158,-0.96123,0.097607,3.7251,-10.474,16.845,16.845,8.3883
0.0034,0.0006,0.00625,0.00158,-0.91156,-0.026837,2.5429,-2.6422,10.225,10.225,5.2514
0.00174,0.000193,0.003725,0.0008,-0.6578,-0.0019248,2.0302,-3.4832,8.654,8.654,5.3966
0.00174,0.000193,0.003725,0.00236,-0.32316,0.021469,1.4191,-5.3114,6.6866,6.6866,9.8771
0.00174,0.0006,0.003725,0.0008,-1.342,-0.1083,3.2956,-2.3017,12.756,12.756,8.8168
0.00174,0.0006,0.003725,0.00236,-0.71898,-0.042612,2.0201,-3.0389,8.3205,8.3205,5.9469
0.00257,0.000193,0.003725,0.0008,-0.60307,0.093998,2.3559,-5.5109,10.633,10.633,0.81497
0.00257,0.000193,0.003725,0.00236,-0.2753,0.11383,1.7589,-7.258,8.5482,8.5482,8.3286
0.00257,0.0006,0.003725,0.0008,-1.3287,-0.020616,3.5385,-1.5022,13.5,13.5,8.9004
0.00257,0.0006,0.003725,0.00236,-0.67242,0.045302,2.3036,-4.8941,10.026,10.026,1.7885
0.0034,0.000193,0.003725,0.0008,-0.61902,0.10942,2.6226,-7.1419,12.141,12.141,2.1983
0.0034,0.000193,0.003725,0.00236,-0.29639,0.12736,2.0329,-8.8697,9.9852,9.9852,6.6978
0.0034,0.0006,0.003725,0.0008,-1.3578,-0.011804,3.743,-2.4606,14.592,14.592,8.8272
0.0034,0.0006,0.003725,0.00236,-0.69527,0.055298,2.5399,-6.4409,11.349,11.349,1.1673
0.00174,0.0003965,0.0019396,0.00158,-0.69245,0.047137,2.483,-6.1583,10.992,10.992,0.59785
0.00174,0.0003965,0.0055104,0.00158,-0.66037,-0.022917,1.7987,-1.5295,7.1042,7.1042,7.7336
0.00257,0.0003965,0.0019396,0.00158,-0.70881,0.078776,2.8324,-8.3752,12.925,12.925,4.5903
0.00257,0.0003965,0.0055104,0.00158,-0.67292,-0.00036524,2.0469,-3.2905,8.6278,8.6278,5.5014
0.0034,0.0003965,0.0019396,0.00158,-0.71768,0.10365,3.0938,-9.9937,14.37,14.37,6.2521
0.0034,0.0003965,0.0055104,0.00158,-0.6825,0.019329,2.2658,-4.7478,9.9246,9.9246,2.423
0.00174,0.0003965,0.0012,0.0008,-1.1045,0.03608,3.5474,-6.5743,15.168,15.168,7.8293
0.00174,0.0003965,0.0012,0.00236,-0.56921,0.041799,2.4902,-8.568,11.313,11.313,4.1021
0.00174,0.0003965,0.00625,0.0008,-1.0622,-0.13476,2.4579,-1.9702,9.5348,9.5348,7.5286
