_il,_it,_el,_et,meanPt,stdPt,cl_1,cl_2,cl_3
0.00174,0.0003965,0.003725,0.00158,-0.13849,2.0298,0.27906,0.40202,0.34913
0.00257,0.0003965,0.003725,0.00158,-0.10448,2.3298,0.32468,0.33499,0.25903
0.0034,0.0003965,0.003725,0.00158,-0.075648,2.578,0.36048,0.28237,0.18937
0.00257,0.000193,0.003725,0.00158,-0.06644,1.9367,0.35365,0.34292,0
0.00257,0.0006,0.003725,0.00158,-0.13482,2.6992,0.3016,0.32773,0.47329
0.00257,0.0003965,0.0012,0.00158,-0.03472,3.1734,0.45021,0.15136,0
0.00257,0.0003965,0.00625,0.00158,-0.13869,1.9636,0.26744,0.41933,0.37475
0.00257,0.0003965,0.003725,0.0008,-0.14593,3.0166,0.2866,0.31905,0.63305
0.00257,0.0003965,0.003725,0.00236,-0.081219,2.0298,0.33821,0.34769,0.099797
