_il,_it,_el,_et,fBD_j2
0.00257,0.0003965,0.0027587,0.00158,0.48149
0.00257,0.0003965,0.0046913,0.00158,0.46908
0.00257,0.0003965,0.0060578,0.00158,0.39722
0.00257,0.0003965,0.0019396,0.0008,0.24793
0.00257,0.0003965,0.0019396,0.00236,0.3488
0.00257,0.0003965,0.0055104,0.0008,0.26152
0.00257,0.0003965,0.0055104,0.00236,0.32396
0.00257,0.0003965,0.0012,0.0010285,0.26801
0.00257,0.0003965,0.0012,0.0021315,0.31051
0.00257,0.0003965,0.00625,0.0010285,0.32569
0.00257,0.0003965,0.00625,0.0021315,0.34743
0.00257,0.0003965,0.003725,0.00085937,0.29473
0.00257,0.0003965,0.003725,0.0012815,0.45596
0.00257,0.0003965,0.003725,0.0018785,0.48465
0.00257,0.0003965,0.003725,0.0023006,0.41011
