_il,_it,_el,_et,il:it,el:et,il:el,it:et,il:et,it:el,std
0.00174,0.0003965,0.003725,0.00158,4.3884,2.3576,0.46711,0.25095,1.1013,0.10644,0.77132
0.0019831,0.0003965,0.003725,0.00158,5.0015,2.3576,0.53238,0.25095,1.2551,0.10644,0.83307
0.00257,0.0003965,0.003725,0.00158,6.4817,2.3576,0.68993,0.25095,1.6266,0.10644,0.97111
0.0031569,0.0003965,0.003725,0.00158,7.9619,2.3576,0.84749,0.25095,1.998,0.10644,1.0953
0.0034,0.0003965,0.003725,0.00158,8.575,2.3576,0.91275,0.25095,2.1519,0.10644,1.1432
0.00174,0.000193,0.003725,0.00158,9.0155,2.3576,0.46711,0.12215,1.1013,0.051812,0.71147
0.00174,0.0006,0.003725,0.00158,2.9,2.3576,0.46711,0.37975,1.1013,0.16107,0.82972
0.00257,0.000193,0.003725,0.00158,13.316,2.3576,0.68993,0.12215,1.6266,0.051812,0.9266
0.00257,0.0006,0.003725,0.00158,4.2833,2.3576,0.68993,0.37975,1.6266,0.16107,1.0154
0.0034,0.000193,0.003725,0.00158,17.617,2.3576,0.91275,0.12215,2.1519,0.051812,1.1101
0.0034,0.0006,0.003725,0.00158,5.6667,2.3576,0.91275,0.37975,2.1519,0.16107,1.1769
0.00174,0.0003965,0.0012,0.00158,4.3884,0.75949,1.45,0.25095,1.1013,0.33042,1.0566
0.00174,0.0003965,0.00625,0.00158,4.3884,3.9557,0.2784,0.25095,1.1013,0.06344,0.61831
0.00257,0.0003965,0.0012,0.00158,6.4817,0.75949,2.1417,0.25095,1.6266,0.33042,1.2877
0.00257,0.0003965,0.00625,0.00158,6.4817,3.9557,0.4112,0.25095,1.6266,0.06344,0.78922
0.0034,0.0003965,0.0012,0.00158,8.575,0.75949,2.8333,0.25095,2.1519,0.33042,1.4748
0.0034,0.0003965,0.00625,0.00158,8.575,3.9557,0.544,0.25095,2.1519,0.06344,0.94197
0.00174,0.0003965,0.003725,0.0008,4.3884,4.6562,0.46711,0.49562,2.175,0.10644,0.94821
0.00174,0.0003965,0.003725,0.00236,4.3884,1.5784,0.46711,0.16801,0.73729,0.10644,0.65934
0.00257,0.0003965,0.003725,0.0008,6.4817,4.6562,0.68993,0.49562,3.2125,0.10644,1.1724
0.00257,0.0003965,0.003725,0.00236,6.4817,1.5784,0.68993,0.16801,1.089,0.10644,0.83985
0.0034,0.0003965,0.003725,0.0008,8.575,4.6562,0.91275,0.49562,4.25,0.10644,1.3623
0.0034,0.0003965,0.003725,0.00236,8.575,1.5784,0.91275,0.16801,1.4407,0.10644,0.99734
0.00257,0.0002526,0.003725,0.00158,10.174,2.3576,0.68993,0.15988,1.6266,0.067813,0.93953
0.00257,0.0005404,0.003725,0.00158,4.7558,2.3576,0.68993,0.34202,1.6266,0.14507,1.0025
0.00257,0.000193,0.0012,0.00158,13.316,0.75949,2.1417,0.12215,1.6266,0.16083,1.2478
0.00257,0.000193,0.00625,0.00158,13.316,3.9557,0.4112,0.12215,1.6266,0.03088,0.74512
0.00257,0.0006,0.0012,0.00158,4.2833,0.75949,2.1417,0.37975,1.6266,0.5,1.3269
0.00257,0.0006,0.00625,0.00158,4.2833,3.9557,0.4112,0.37975,1.6266,0.096,0.83372
0.00257,0.000193,0.003725,0.0008,13.316,4.6562,0.68993,0.24125,3.2125,0.051812,1.1263
0.00257,0.000193,0.003725,0.00236,13.316,1.5784,0.68993,0.08178,1.089,0.051812,0.79875
0.00257,0.0006,0.003725,0.0008,4.2833,4.6562,0.68993,0.75,3.2125,0.16107,1.2182
0.00257,0.0006,0.003725,0.00236,4.2833,1.5784,0.68993,0.25424,1.089,0.16107,0.88087
0.00257,0.0003965,0.0019396,0.00158,6.4817,1.2276,1.325,0.25095,1.6266,0.20443,1.1723
0.00257,0.0003965,0.0055104,0.00158,6.4817,3.4876,0.46639,0.25095,1.6266,0.071954,0.83421
0.00257,0.0003965,0.0012,0.0008,6.4817,1.5,2.1417,0.49562,3.2125,0.33042,1.6165
0.00257,0.0003965,0.0012,0.00236,6.4817,0.50847,2.1417,0.16801,1.089,0.33042,1.0838
0.00257,0.0003965,0.00625,0.0008,6.4817,7.8125,0.4112,0.49562,3.2125,0.06344,0.93074
0.00257,0.0003965,0.00625,0.00236,6.4817,2.6483,0.4112,0.16801,1.089,0.06344,0.69424
0.00257,0.0003965,0.003725,0.0010285,6.4817,3.6219,0.68993,0.38553,2.4989,0.10644,1.1024
0.00257,0.0003965,0.003725,0.0021315,6.4817,1.7476,0.68993,0.18602,1.2057,0.10644,0.8736
