_il,_it,_el,_et,min,max,std,Mean,Med,pca1,pca2
0.0034,0.000193,0.00625,0.00158,-4.8091,8.0529,0.90729,0.028698,-0.088345,0.074838,-0.04879
0.0034,0.0006,0.0012,0.00158,-8.4295,13.606,1.5013,0.033769,-0.16604,0.12413,-0.054737
0.0034,0.0006,0.00625,0.00158,-4.7321,8.4133,0.97753,0.027543,-0.12614,0.080679,0.088934
0.00174,0.000193,0.003725,0.0008,-4.3805,7.629,0.87877,0.026852,-0.10522,0.072622,0.03275
0.00174,0.000193,0.003725,0.00236,-3.623,5.5751,0.60697,0.012742,-0.059677,0.050061,-0.062363
0.00174,0.0006,0.003725,0.0008,0,1.424e-317,0,7.2404e-318,7.2476e-318,-1.9476e-320,-1.2524e-318
0.00174,0.0006,0.003725,0.00236,-3.6808,6.2362,0.71109,0.016171,-0.089131,0.058595,0.058676
0.00257,0.000193,0.003725,0.0008,-5.7067,9.8595,1.1263,0.037236,-0.12348,0.092998,-0.0010767
0.00257,0.000193,0.003725,0.00236,-4.8102,7.3543,0.79875,0.017614,-0.071785,0.065761,-0.10209
0.00257,0.0006,0.003725,0.0008,-5.6745,10.378,1.2182,0.034012,-0.16711,0.10002,0.19372
0.00257,0.0006,0.003725,0.00236,-4.7507,7.8248,0.88087,0.020088,-0.10477,0.072825,0.017429
0.0034,0.000193,0.003725,0.0008,-6.7721,11.7,1.333,0.047027,-0.13693,0.10992,-0.024449
0.0034,0.000193,0.003725,0.00236,-5.791,8.8741,0.96476,0.022542,-0.081613,0.079347,-0.13239
0.0034,0.0006,0.003725,0.0008,-6.576,11.953,1.3934,0.041174,-0.18445,0.11481,0.16214
0.0034,0.0006,0.003725,0.00236,-5.6457,9.2191,1.0302,0.024087,-0.11735,0.085217,-0.014873
0.00174,0.0003965,0.0019396,0.00158,-5.2829,8.5414,0.94934,0.020579,-0.10961,0.078474,-0.007484
0.00174,0.0003965,0.0055104,0.00158,-3.1627,5.6262,0.65555,0.017197,-0.086246,0.054025,0.074324
0.00257,0.0003965,0.0019396,0.00158,-6.6054,10.615,1.1723,0.026485,-0.12761,0.096921,-0.054942
0.00257,0.0003965,0.0055104,0.00158,-4.2044,7.2576,0.83421,0.022995,-0.10257,0.06897,0.040692
0.0034,0.0003965,0.0019396,0.00158,-7.6598,12.292,1.3568,0.03243,-0.14121,0.11212,-0.087717
0.0034,0.0003965,0.0055104,0.00158,-5.0915,8.695,0.99244,0.028662,-0.11541,0.082073,0.014141
0.00174,0.0003965,0.0012,0.0008,-7.1596,12.041,1.3611,0.032864,-0.16523,0.11252,0.051544
0.00174,0.0003965,0.0012,0.00236,-5.4266,8.1862,0.87435,0.015265,-0.091509,0.071959,-0.078263
0.00174,0.0003965,0.00625,0.0008,-3.2768,6.2531,0.74094,0.021207,-0.11061,0.060256,0.17559
0.00174,0.0003965,0.00625,0.00236,-2.738,4.6876,0.53853,0.013305,-0.067705,0.044481,0.03747
0.00257,0.0003965,0.0012,0.0008,-8.5678,14.346,1.6165,0.041866,-0.18725,0.13375,0.0053514
0.00257,0.0003965,0.0012,0.00236,-6.7771,10.16,1.0838,0.019538,-0.10681,0.089185,-0.12877
0.00257,0.0003965,0.00625,0.0008,-4.2556,7.8938,0.93074,0.02949,-0.12964,0.076409,0.146
0.00257,0.0003965,0.00625,0.00236,-3.6717,6.1215,0.69424,0.017683,-0.081136,0.057441,0.0054541
0.0034,0.0003965,0.0012,0.0008,-9.5882,16.117,1.8165,0.050627,-0.20284,0.15025,-0.022335
0.0034,0.0003965,0.0012,0.00236,-7.8159,11.75,1.2571,0.024046,-0.1185,0.10345,-0.16387
0.0034,0.0003965,0.00625,0.0008,-5.0952,9.3852,1.099,0.03737,-0.14478,0.090482,0.12276
0.0034,0.0003965,0.00625,0.00236,-4.4829,7.4075,0.83443,0.022035,-0.092015,0.069017,-0.020717
0.00174,0.0003965,0.003725,0.0010285,-4.2444,7.5996,0.88593,0.023702,-0.1176,0.072971,0.10756
0.00174,0.0003965,0.003725,0.0021315,-3.7184,6.1053,0.6879,0.015653,-0.081746,0.056875,0.012066
0.00257,0.0003965,0.003725,0.0010285,-5.4675,9.5615,1.1024,0.031364,-0.13738,0.091099,0.068085
