_il,_it,_el,_et,meanPt,stdPt,PCA_2,PCA_1,fBD_2,fBD_12,fBD_22,fBD_32,fBD_42,fBD_52,fBD_62
0.00174,0.0005404,0.003725,0.00158,0.023074,2.3171,0.078246,0.077131,0.41552,0.97222,0.99568,0.99958,0.99995,0.99995,0.99997
0.00257,0.0002526,0.003725,0.00158,0.10441,2.0517,-0.051578,0.0687,0.30157,0.87884,0.99276,0.99569,0.99997,0.99997,0.99997
0.00257,0.0005404,0.003725,0.00158,0.05869,2.595,0.042641,0.0873,0.48769,0.99221,0.99996,0.99997,0.99997,0.99997,0.99997
0.0034,0.0002526,0.003725,0.00158,0.13875,2.3188,-0.079709,0.077094,0.2871,0.91708,0.98254,0.99922,0.99977,0.99995,0.99984
0.0034,0.0005404,0.003725,0.00158,0.089109,2.8271,0.014917,0.095382,0.4488,0.98855,0.9999,0.99997,0.99997,0.99997,0.99997
0.00174,0.000193,0.0012,0.00158,0.1377,2.454,-0.13864,0.079554,0.24596,0.77981,0.86718,0.9348,0.94661,0.96567,0.977
0.00174,0.000193,0.00625,0.00158,0.03503,1.2666,0.00028237,0.042736,0.15753,0.44154,0.55336,0.59164,0.61403,0.64787,0.66794
0.00174,0.0006,0.0012,0.00158,0.077788,3.1761,-0.0062238,0.10714,0.3258,0.94946,0.97499,0.99487,0.99957,0.9998,0.99987
0.00174,0.0006,0.00625,0.00158,-0.030879,2.1526,0.13417,0.069189,0.29927,0.80167,0.8723,0.9035,0.92607,0.93251,0.94425
0.00257,0.000193,0.0012,0.00158,0.16001,2.8345,-0.17687,0.091106,0.25445,0.69947,0.7894,0.87024,0.89569,0.92347,0.94803
0.00257,0.000193,0.00625,0.00158,0.042667,1.5366,-0.029537,0.051583,0.18787,0.60583,0.78381,0.86277,0.89677,0.93391,0.94911
0.00257,0.0006,0.0012,0.00158,0.089897,3.4971,-0.042962,0.11779,0.29259,0.77135,0.92625,0.95924,0.97499,0.99229,0.99624
0.00257,0.0006,0.00625,0.00158,-0.029072,2.3569,0.10484,0.077644,0.38101,0.91938,0.97748,0.99479,0.99655,0.99942,0.99997
0.0034,0.000193,0.0012,0.00158,0.17461,3.0998,-0.20226,0.099148,0.20071,0.59881,0.72269,0.74684,0.76346,0.78538,0.79548
0.0034,0.000193,0.00625,0.00158,0.049306,1.7727,-0.054383,0.059059,0.29601,0.80436,0.90232,0.96629,0.98889,0.99186,0.99578
0.0034,0.0006,0.0012,0.00158,0.097607,3.7251,-0.067486,0.12523,0.24408,0.63669,0.76748,0.83763,0.86717,0.89859,0.90623
0.0034,0.0006,0.00625,0.00158,-0.026837,2.5429,0.080359,0.084793,0.38605,0.94573,0.99531,0.99997,0.99997,0.99997,0.99997
0.00174,0.000193,0.003725,0.0008,-0.0019248,2.0302,0.028451,0.068344,0.39756,0.99349,0.99884,0.99994,0.99996,0.99996,0.99997
0.00174,0.000193,0.003725,0.00236,0.021469,1.4191,-0.063096,0.04675,0.14511,0.51001,0.69817,0.74197,0.81223,0.87806,0.92727
0.00174,0.0006,0.003725,0.0008,-0.1083,3.2956,0.21729,0.10527,0.087482,0.35067,0.4766,0.54044,0.6606,0.6677,0.72907
0.00174,0.0006,0.003725,0.00236,-0.042612,2.0201,0.037834,0.06789,0.44144,0.98865,0.99858,0.99993,0.99996,0.99997,0.99997
0.00257,0.000193,0.003725,0.0008,0.093998,2.3559,-0.0082262,0.079437,0.53009,0.99519,0.99974,0.9999,0.99994,0.99995,0.99996
0.00257,0.000193,0.003725,0.00236,0.11383,1.7589,-0.099002,0.057073,0.1382,0.43362,0.54245,0.61966,0.66078,0.69578,0.72014
0.00257,0.0006,0.003725,0.0008,-0.020616,3.5385,0.18146,0.11561,0.10078,0.48874,0.55534,0.71228,0.79109,0.83482,0.90057
0.00257,0.0006,0.003725,0.00236,0.045302,2.3036,0.0027063,0.077745,0.46826,0.9997,0.99997,0.99997,0.99997,0.99997,0.99997
0.0034,0.000193,0.003725,0.0008,0.10942,2.6226,-0.036556,0.08817,0.48674,0.99119,0.998,0.99885,0.99928,0.99945,0.99959
0.0034,0.000193,0.003725,0.00236,0.12736,2.0329,-0.12704,0.065319,0.1803,0.53037,0.64304,0.71382,0.75413,0.80352,0.82096
0.0034,0.0006,0.003725,0.0008,-0.011804,3.743,0.1537,0.12376,0.10887,0.35077,0.48514,0.68247,0.66303,0.77171,0.8065
0.0034,0.0006,0.003725,0.00236,0.055298,2.5399,-0.024777,0.085626,0.49907,0.99898,0.99997,0.99997,0.99997,0.99997,0.99997
0.00174,0.0003965,0.0019396,0.00158,0.047137,2.483,-0.022825,0.083707,0.53192,0.99791,0.99996,0.99997,0.99997,0.99997,0.99997
0.00174,0.0003965,0.0055104,0.00158,-0.022917,1.7987,0.065446,0.059741,0.3458,0.85517,0.93104,0.97066,0.97664,0.99134,0.99636
0.00257,0.0003965,0.0019396,0.00158,0.078776,2.8324,-0.061984,0.095047,0.44133,0.98375,0.99948,0.99997,0.99997,0.99997,0.99997
0.00257,0.0003965,0.0055104,0.00158,-0.00036524,2.0469,0.034144,0.068852,0.43918,0.99154,0.9974,0.99997,0.99997,0.99997,0.99997
0.0034,0.0003965,0.0019396,0.00158,0.10365,3.0938,-0.089728,0.10336,0.35393,0.94518,0.99378,0.99909,0.99967,0.99994,0.99992
0.0034,0.0003965,0.0055104,0.00158,0.019329,2.2658,0.0084532,0.076442,0.48714,0.99961,0.99996,0.99996,0.99997,0.99997,0.99997
0.00174,0.0003965,0.0012,0.0008,0.03608,3.5474,0.032583,0.11961,0.20577,0.71827,0.8747,0.9402,0.97297,0.9878,0.99811
0.00174,0.0003965,0.0012,0.00236,0.041799,2.4902,-0.10418,0.082035,0.33627,0.88653,0.961,0.9838,0.99058,0.99304,0.99529
0.00174,0.0003965,0.00625,0.0008,-0.13476,2.4579,0.18018,0.077396,0.19545,0.64844,0.78197,0.83107,0.87282,0.88322,0.9054
0.00174,0.0003965,0.00625,0.00236,-0.060662,1.4244,0.02909,0.047834,0.26274,0.7477,0.83472,0.86005,0.91889,0.94463,0.95607
0.00257,0.0003965,0.0012,0.0008,0.040615,3.8715,-0.004408,0.13066,0.13024,0.53509,0.73857,0.78817,0.85326,0.90548,0.90172
0.00257,0.0003965,0.0012,0.00236,0.048105,2.8456,-0.14175,0.093015,0.2765,0.81513,0.89041,0.9478,0.96847,0.97688,0.98625
0.00257,0.0003965,0.00625,0.0008,-0.032416,2.6613,0.1503,0.08632,0.22328,0.79023,0.90706,0.95628,0.97541,0.98955,0.99503
0.00257,0.0003965,0.00625,0.00236,0.040155,1.6663,-0.00017478,0.056236,0.22942,0.80827,0.90586,0.97639,0.99251,0.99692,0.99919
0.0034,0.0003965,0.0012,0.0008,0.144,4.0984,-0.02866,0.13821,0.14526,0.58234,0.72187,0.79376,0.8356,0.86408,0.889
